Name,dD,dP,dH,R0,duplicate,hsp_flag_dd_low,hsp_flag_dd_high,hsp_flag_dp_negative,hsp_flag_dh_negative,hsp_flag_r_large,hsp_flag_nonpolar_check,name_clean,name_type,name_synonyms,source_uncertainty,CAS,cas_final,cas_valid,cas_source,pubchem_cid,inchikey,smiles_canonical,smiles_isomeric,smiles_valid,mol_formula,mw,name_iupac,xlogp,hbd_count,hba_count,bp_c,mp_c,density_g_ml,flash_point_c,vapor_pressure_mmhg,dielectric_constant,ghs_hazard_statements,ghs_pictograms,ghs_signal_word,flag_carcinogen,flag_reproductive_toxin,flag_flammable,flag_acutely_toxic,ich_q3c_class,ich_q3c_pde_mg_day,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,cf_alternative_parents,cf_classification_type,url_primary,url_source,score_cas,score_name_match,score_pubchem,score_smiles,score_crossref,score_properties,confidence_score,confidence_label,verify_inchikey_mismatch,verify_cas_conflict,verify_name_inconsistency,verify_formula_mismatch,verify_hsp_outlier,verify_classyfire_consistent,already_in_database,lookup_failed,needs_manual_review,processing_notes
Allyl Acetoacetate,15.9,6.9,8.6,,False,False,False,False,False,False,False,Allyl Acetoacetate,systematic_chemical,,False,1118-84-9,1118-84-9,True,original,70701.0,AXLMPTNTPOWPLT-UHFFFAOYSA-N,CC(=O)CC(=O)OCC=C,,True,C7H10O3,142.15,prop-2-enyl 3-oxobutanoate,0.6,0.0,3.0,,,,,,,H301; H302; H311; H315,Acute Toxic; Irritant,Danger,False,False,False,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/70701,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Alcohol,16.2,10.8,16.8,,False,False,False,False,False,False,False,Allyl Alcohol,systematic_chemical,,False,107-18-6,107-18-6,True,original,7858.0,XXROGKLTLUQVRX-UHFFFAOYSA-N,OCC=C,,True,C3H6O,58.08,prop-2-en-1-ol,0.2,1.0,1.0,,,,,,,H225; H301; H311; H315; H319; H331; H335; H400; H310; H330; H412; H370; H372; H305; H314; H318; H373; H410,Flammable; Acute Toxic; Environmental Hazard; Irritant; Health Hazard; Corrosive,Danger,False,False,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/7858,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Amine,15.5,5.7,10.6,,False,False,False,False,False,False,False,Allyl Amine,systematic_chemical,,False,107-11-9,107-11-9,True,original,7853.0,VVJKKWFAADXIJK-UHFFFAOYSA-N,NCC=C,,True,C3H7N,57.09,prop-2-en-1-amine,0.1,1.0,1.0,53.3,,,,,,H225; H301; H311; H331; H411; H310; H314; H318; H330; H335; H370; H372; H401; H315; H319; H371; H373,Flammable; Acute Toxic; Environmental Hazard; Corrosive; Irritant; Health Hazard,Danger,False,False,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/7853,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Bromide (3-Bromoprene),16.5,7.3,4.9,,False,False,False,False,False,False,False,Allyl Bromide,trivial_name,3-Bromoprene,False,106-95-6,106-95-6,True,original,7841.0,BHELZAPQIKSEDF-UHFFFAOYSA-N,BrCC=C,,True,C3H5Br,120.98,3-bromoprop-1-ene,1.8,0.0,0.0,,-119.0,,,,,H225; H300; H301; H310; H314; H315; H319; H330; H331; H335; H340; H350; H400; H318,Flammable; Corrosive; Acute Toxic; Irritant; Health Hazard; Environmental Hazard,Danger,True,False,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/7841,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Chloride,17.0,6.2,2.3,,False,False,False,False,False,False,False,Allyl Chloride,trivial_name,,False,107-05-1,107-05-1,True,original,7850.0,OSDWBNJEKMUWAV-UHFFFAOYSA-N,ClCC=C,,True,C3H5Cl,76.52,3-chloroprop-1-ene,1.5,0.0,0.0,,-134.5,,,,,H225; H302; H312; H315; H319; H332; H335; H341; H351; H373; H400; H301; H311; H318; H331; H372; H290; H336; H350; H370; H371; H401; H361; H313; H314,Flammable; Irritant; Health Hazard; Environmental Hazard; Corrosive; Acute Toxic,Danger,True,True,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/7850,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Cyanide,16.0,14.3,5.6,,False,False,False,False,False,False,False,Allyl Cyanide,trivial_name,,False,109-75-1,109-75-1,True,original,8009.0,SJNALLRHIVGIBI-UHFFFAOYSA-N,C=CCC#N,,True,C4H5N,67.09,but-3-enenitrile,0.4,0.0,1.0,118.6,,,,,,H226; H301; H312; H315; H318; H319; H331; H360; H373,Flammable; Corrosive; Acute Toxic; Irritant; Health Hazard,Danger,False,True,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/8009,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Ethylether,15.0,4.8,5.1,,False,False,False,False,False,False,False,Allyl Ethylether,systematic_chemical,,False,557-31-3,557-31-3,True,original,11191.0,OJPSFJLSZZTSDF-UHFFFAOYSA-N,CCOCC=C,,True,C5H10O,86.13,3-ethoxyprop-1-ene,1.1,0.0,1.0,66.1,,,,,,H225; H315; H319; H335,Flammable; Irritant,Danger,False,False,True,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/11191,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Fluoride,14.9,6.4,1.0,,False,False,False,False,False,False,False,Allyl Fluoride,trivial_name,,False,818-92-8,818-92-8,True,original,69958.0,QCMKXHXKNIOBBC-UHFFFAOYSA-N,FCC=C,,True,C3H5F,60.07,3-fluoroprop-1-ene,1.2,0.0,1.0,-10.1,,,,,,,,,False,False,False,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/69958,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Formate,15.7,5.4,8.8,,False,False,False,False,False,False,False,Allyl Formate,trivial_name,,False,1838-59-1,1838-59-1,True,original,61278.0,ZHHZHHSFKCANOC-UHFFFAOYSA-N,C=CCOC=O,,True,C4H6O2,86.09,prop-2-enyl formate,0.8,0.0,2.0,,,,,,,,,,False,False,False,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/61278,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Iodide,18.3,6.4,3.3,,False,False,False,False,False,False,False,Allyl Iodide,trivial_name,,False,556-56-9,556-56-9,True,original,11166.0,HFEHLDPGIKPNKL-UHFFFAOYSA-N,ICC=C,,True,C3H5I,167.98,3-iodoprop-1-ene,2.1,0.0,0.0,101.9,-97.1,,,,,H225; H314,Flammable; Corrosive,Danger,False,False,True,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/11166,pubchem,1.0,0.85,1.0,1.0,1.0,1.0,0.97,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
