row,original_name,normalized_name,candidate_cas,reason
380,2-Chlorothiophene 2-Chloro-thiophene,2-Chlorothiophene 2-Chloro-thiophene,,not found in PubChem
383,2-Cyclopentenyl Alcohol Cyclopent-2-enol,2-Cyclopentenyl Alcohol Cyclopent-2-enol,,not found in PubChem
385,2-Decanol Decan-2-ol,2-Decanol Decan-2-ol,,not found in PubChem
389,2-Ethyl Croton Aldehyde,2-Ethyl Croton Aldehyde,,not found in PubChem
390,2-Ethyl Croton Aldehyde 2-Ethyl-but-2-enal,2-Ethyl Croton Aldehyde 2-Ethyl-but-2-enal,,not found in PubChem
393,2-Ethyl Hexyl Phthalate,2-Ethyl Hexyl Phthalate,,not found in PubChem
395,"2-Ethyl-1,3-Butadiene 3-Methylene-pent-1-ene","2-Ethyl-1,3-Butadiene 3-Methylene-pent-1-ene",,not found in PubChem
398,2-Ethyl-1-Butene 3-Methylene-pentane,2-Ethyl-1-Butene 3-Methylene-pentane,,not found in PubChem
405,2-Ethylhexylamine Ethyl-hexyl-amine,2-Ethylhexylamine Ethyl-hexyl-amine,,not found in PubChem
412,2-Furonitrile Furan-2-carbonitrile,2-Furonitrile Furan-2-carbonitrile,,not found in PubChem
414,2-Heptanol Heptan-2-ol,2-Heptanol Heptan-2-ol,,not found in PubChem
418,"2-Iodo-1,3-butadiene","2-Iodo-1,3-butadiene",,not found in PubChem
425,2-Methyl (cis) Acrylic Acid (Z)-But-2-enoic acid,2-Methyl (cis) Acrylic Acid (Z)-But-2-enoic acid,,not found in PubChem
429,2-Methyl Cyclohexanol (mix) 2-Methyl-cyclohexanol,2-Methyl Cyclohexanol (mix) 2-Methyl-cyclohexanol,,not found in PubChem
432,2-Methyl Pyrazine 2-Methyl-pyrazine,2-Methyl Pyrazine 2-Methyl-pyrazine,,not found in PubChem
434,"2-Methyl-1,3-Dioxolane 2-Methyl-[1,3]dioxolane","2-Methyl-1,3-Dioxolane 2-Methyl-[1,3]dioxolane",,not found in PubChem
436,2-Methyl-1-Butanol 2-Methyl-butan-1-ol,2-Methyl-1-Butanol 2-Methyl-butan-1-ol,,not found in PubChem
438,2-Methyl-1-Butene 2-Methyl-but-1-ene,2-Methyl-1-Butene 2-Methyl-but-1-ene,,not found in PubChem
440,2-Methyl-1-Chloro Acrolein 2-Chloro-but-2-enal,2-Methyl-1-Chloro Acrolein 2-Chloro-but-2-enal,,not found in PubChem
442,2-Methyl-1-Pentanol 2-Methyl-pentan-1-ol,2-Methyl-1-Pentanol 2-Methyl-pentan-1-ol,,not found in PubChem
443,2-Methyl-1-Propanol 2-Methyl-propan-1-ol,2-Methyl-1-Propanol 2-Methyl-propan-1-ol,,not found in PubChem
447,2-Methyl-2-Butanol 2-Methyl-butan-2-ol,2-Methyl-2-Butanol 2-Methyl-butan-2-ol,,not found in PubChem
