name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
Methyl methacrylate,80-62-6,,C5H8O2,15.8,6.5,5.4,100.12,,,106.1,ester,,0.75,1,accudyne_solvents,,
Morpholine,110-91-8,,C4H9NO,18.8,4.9,9.2,87.12,,,87.1,amine,,0.75,1,accudyne_solvents,,
"N,N-Dimethylformamide (DMF)",68-12-2,,C3H7NO,17.4,13.7,11.3,73.09,,,77.0,amide,,0.75,1,accudyne_solvents,,
n-Heptane,142-85-5,,C7H16,15.3,0.0,0.0,100.21,,,147.4,hydrocarbon,,0.75,1,accudyne_solvents,,
N-Methyl-2-pyrrolidine,872-50-4,,C5H9NO,18.0,12.3,7.2,99.13,,,96.5,other,,0.75,1,accudyne_solvents,,
Nitromethane,75-52-5,,CH3NO2,15.8,18.8,5.1,61.04,,,54.3,nitro,,0.75,1,accudyne_solvents,,
o-Xylene,95-47-6,,C8H10,17.8,1.0,3.1,106.17,,,121.2,aromatic,,0.75,1,accudyne_solvents,,
Octanoic acid (caprylic acid),124-07-2,,C8H16O2,15.1,3.3,8.2,144.21,,,159.0,acid,,0.75,1,accudyne_solvents,,
p-Xylene,106-42-3,,C8H10,17.6,1.0,3.1,106.17,,,123.2,aromatic,,0.75,1,accudyne_solvents,,
Phenoxyethanol (ethylene glycol monophenyl ether),122-99-6,,C8H10O2,17.8,5.7,14.3,138.16,,,125.3,alcohol,,0.75,1,accudyne_solvents,,
Propyl acetate (propyl ethanoate),109-60-4,,C5H10O2,15.3,4.3,7.6,102.13,,,115.3,ester,,0.75,1,accudyne_solvents,,
Propylene carbonate,108-32-7,,C4H6O3,20.0,18.0,4.1,102.09,,,85.0,ester,,0.75,1,accudyne_solvents,,
Pyridine,110-86-1,,C5H5N,19.0,8.8,5.9,79.1,,,80.9,amine,,0.75,1,accudyne_solvents,,
Styrene (phenylethene),100-42-5,,C8H8,18.6,1.0,4.1,104.15,,,115.6,aromatic,,0.75,1,accudyne_solvents,,
Tetrachloromethane (carbon tetrachloride),56-23-5,,CCl4,16.1,8.3,0.0,153.82,,,97.1,halogenated,,0.75,1,accudyne_solvents,,
Tetrachloromethane (carbon tetrachloride),56-23-5,,CCl4,17.8,0.0,0.6,153.82,,,97.1,halogenated,,0.75,1,accudyne_solvents,,
Tetrahydrofuran,109-99-9,,C4H8O,16.8,5.7,8.0,72.11,,,81.7,ether,,0.75,1,accudyne_solvents,,
Toluene,08-88-3,,C7H81,18.0,1.4,2.0,92.13,,,106.8,aromatic,,0.75,1,accudyne_solvents,,
"Trichloroethylene (TCE, trichloroethene)",79-01-6,,C2HCl3,18.0,3.1,5.3,131.39,,,90.2,halogenated,,0.75,1,accudyne_solvents,,
Trichloromethane (chloroform),67-66-3,,CHCl3,17.8,3.1,5.7,119.38,,,80.7,halogenated,,0.75,1,accudyne_solvents,,
Triethanolamine,102-71-6,,C6H15NO3,17.3,22.4,23.3,149.19,,,133.2,alcohol,,0.75,1,accudyne_solvents,,
Water,7732-18-5,,H2O,15.6,16.0,42.3,18.02,,,18.0,inorganic,,0.75,1,accudyne_solvents,,
