name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
TEFLON (SL2-),,17.10,8.10,1.30,4.70,,0.700,1,hspip_polymers
DOW EPOXY NOVOLAC 438,,20.30,15.40,5.30,15.10,,0.700,1,hspip_polymers
DOW EPOXY NOVOLAC 444,,19.50,11.60,9.30,10.00,,0.700,1,hspip_polymers
ZINK SILICATE - CHEMICAL RES.,,23.50,17.50,16.80,15.60,,0.700,1,hspip_polymers
2-COMP EPOXY CHEMICAL RES.,,18.40,9.40,10.10,7.00,,0.700,1,hspip_polymers
POLYVINYLIDINE FLUORIDE SOL.,,17.00,12.10,10.20,4.10,,0.700,1,hspip_polymers
COAL TAR PITCH SOL.,,18.70,7.50,8.90,5.80,,0.700,1,hspip_polymers
NITRILE 20 MIN,,17.50,7.30,6.50,5.10,,0.700,1,hspip_polymers
NITRILE 1 HR,,16.60,9.10,4.40,10.00,,0.700,1,hspip_polymers
NITRILE 4 HR,,19.00,12.60,3.80,13.30,,0.700,1,hspip_polymers
BUTYL 20 MIN,,16.50,1.00,5.10,5.00,,0.700,1,hspip_polymers
BUTYL  4 HR (2),,17.60,2.10,2.10,7.00,,0.700,1,hspip_polymers
NATURAL RUBBER 20 MIN,,14.50,7.30,4.50,11.00,,0.700,1,hspip_polymers
NATURAL RUBBER 1 HR,,15.60,3.40,9.10,14.00,,0.700,1,hspip_polymers
NATURAL RUBBER 4 HR,,19.40,13.20,7.70,19.00,,0.700,1,hspip_polymers
PVC 20 MIN,,16.10,7.10,5.90,9.30,,0.700,1,hspip_polymers
PVC 1 HR,,14.90,11.10,3.80,13.20,,0.700,1,hspip_polymers
PVC 4 HR,,24.40,4.90,9.90,22.707248,,0.700,1,hspip_polymers
POLYVINYLALCOHOL 20 MIN,,11.20,12.40,13.00,12.10,,0.700,1,hspip_polymers
POLYVINYLALCOHOL 1 HR,,15.30,13.20,13.50,8.80,,0.700,1,hspip_polymers
POLYVINYLALCOHOL 4 HR,,17.20,13.60,15.40,10.90,,0.700,1,hspip_polymers
POLYETHYLENE 20 MIN,,16.90,3.30,4.10,8.10,,0.700,1,hspip_polymers
POLYETHYLENE 1 HR,,17.10,3.10,5.20,8.20,,0.700,1,hspip_polymers
POLYETHYLENE 4 HR,,24.10,14.90,0.30,24.30,,0.700,1,hspip_polymers
VITON 20 MIN,,10.90,14.50,3.10,14.10,,0.700,1,hspip_polymers
VITON 1 HR,,16.50,8.10,8.30,6.60,,0.700,1,hspip_polymers
VITON 4 HR,,13.60,15.40,8.60,14.40,,0.700,1,hspip_polymers
NEOPRENE 20 MIN,,17.60,2.50,5.90,6.20,,0.700,1,hspip_polymers
NEOPRENE 1 HR,,19.00,8.00,0.00,13.20,,0.700,1,hspip_polymers
NEOPRENE 4 HR,,14.60,13.90,2.30,15.90,,0.700,1,hspip_polymers
CH 5100 3 HR,,16.60,5.40,4.00,3.80,,0.700,1,hspip_polymers
CH 5200 3 HR,,16.60,6.00,4.80,3.70,,0.700,1,hspip_polymers
PVDC (110C) SOLUBILITY,,17.60,9.10,7.80,3.90,,0.700,1,hspip_polymers
PVDC (130C) SOLUBILITY,,20.40,10.00,10.20,7.60,,0.700,1,hspip_polymers
PES L C=1,,18.70,10.50,7.60,9.10,,0.700,1,hspip_polymers
PES L B + C =1,,17.70,9.70,6.40,9.30,,0.700,1,hspip_polymers
PPS CR 93°C,,18.80,4.80,6.80,2.80,,0.700,1,hspip_polymers
PPS TS60%12MO,,18.70,5.30,3.70,6.70,,0.700,1,hspip_polymers
PA6 CR,,17.00,3.40,10.60,5.10,,0.700,1,hspip_polymers
PA66 SOL,,17.40,9.80,14.60,5.10,,0.700,1,hspip_polymers
PA11 CR,,17.00,4.40,10.60,5.10,,0.700,1,hspip_polymers
POMH+POMC CR,,17.10,3.10,10.70,5.20,,0.700,1,hspip_polymers
PETP CR,,18.20,6.40,6.60,5.00,,0.700,1,hspip_polymers
PTFE L80 CR,,16.20,1.80,3.40,3.90,,0.700,1,hspip_polymers
PMMA CR,,16.00,5.00,12.00,13.00,,0.700,1,hspip_polymers
PE? CR QUESTIONABLE V ALUES,,16.80,5.40,2.40,4.70,,0.700,1,hspip_polymers
PPO CR,,17.90,3.10,8.50,8.60,,0.700,1,hspip_polymers
PUR CR,,18.10,9.30,4.50,9.70,,0.700,1,hspip_polymers
ABS CR,,16.30,2.70,7.10,7.80,,0.700,1,hspip_polymers
PSU CR,,16.00,6.00,6.60,9.00,,0.700,1,hspip_polymers
VINYL SILANE,,16.40,3.70,4.50,10.00,,0.700,1,hspip_polymers
CELLOPHAN SW,,16.10,18.50,14.50,9.30,,0.700,1,hspip_polymers
EVOH SOL,,20.50,10.50,12.30,7.30,,0.700,1,hspip_polymers
