name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,category,cf_class,cf_subclass,name_iupac,name_common,name_acronyms,ghs_hazard,confidence,source,source_url
Cyclodecanone,1502-06-3,,,16.8,8.0,4.1,,,,ketone,Organooxygen compounds,Carbonyl compounds,cyclodecanone,Cyclodecanone,,,0.7,hsp_solvents_2,
Cyclododecane,294-62-2,,,16.4,0.0,0.0,,,,hydrocarbon,,,cyclododecane,Cyclododecane,,,0.7,hsp_solvents_2,
Cycloheptane,291-64-5,,,17.1,1.4,1.9,,,,hydrocarbon,Saturated hydrocarbons,Cycloalkanes,cycloheptane,Cycloheptane,,,0.7,hsp_solvents_2,
Cycloheptanone,502-42-1,,,17.2,10.6,4.8,,,,ketone,Organooxygen compounds,Carbonyl compounds,cycloheptanone,Cycloheptanone,,,0.7,hsp_solvents_2,
Cyclohexane,110-82-7,,,16.8,0.0,0.2,,,,hydrocarbon,Saturated hydrocarbons,Cycloalkanes,cyclohexane,Cyclohexane,,,0.7,hsp_solvents_2,
"Cyclohexane-1,2-Dicarboxylic Acid Di-Isononyl Ether",,,,16.4,2.2,5.0,,,,ether,,,"cyclohexane-1,2-dicarboxylic acid di-isononyl ether","Cyclohexane-1,2-Dicarboxylic Acid Di-Isononyl Ether",,,0.7,hsp_solvents_2,
Cyclohexanol,108-93-0,,,17.4,4.1,13.5,,,,alcohol,Organooxygen compounds,Alcohols and polyols,cyclohexanol,Cyclohexanol,,,0.7,hsp_solvents_2,
Cyclohexanone,108-94-1,,,17.8,8.4,5.1,,,,ketone,Organooxygen compounds,Carbonyl compounds,cyclohexanone,Cyclohexanone,,,0.7,hsp_solvents_2,
Cyclohexene,110-83-8,,,17.2,1.0,2.0,,,,hydrocarbon,Unsaturated hydrocarbons,Olefins,cyclohexene,Cyclohexene,,,0.7,hsp_solvents_2,
Cycloheximide,66-81-9,,,18.3,11.0,13.8,,,,other,Pyridines and derivatives,Hydropyridines,cycloheximide,Cycloheximide,,,0.7,hsp_solvents_2,
Cyclohexyl Benzene,827-52-1,,,18.7,0.0,1.0,,,,aromatic,Benzene and substituted derivatives,,cyclohexyl benzene,Cyclohexyl Benzene,,,0.7,hsp_solvents_2,
Cyclohexylamine,108-91-8,,,17.2,3.1,6.5,,,,amine,,,cyclohexylamine,Cyclohexylamine,,,0.7,hsp_solvents_2,
Cyclohexylchloride,542-18-7,,,17.3,5.5,2.0,,,,halogenated,Alkyl halides,Cyclohexyl halides,cyclohexylchloride,Cyclohexylchloride,,,0.7,hsp_solvents_2,
Cyclooctanone,502-49-8,,,17.0,9.6,4.5,,,,ketone,,,cyclooctanone,Cyclooctanone,,,0.7,hsp_solvents_2,
Cyclopentadiene,542-92-7,,,17.0,1.9,2.0,,,,hydrocarbon,,,cyclopentadiene,Cyclopentadiene,,,0.7,hsp_solvents_2,
Cyclopentane,287-92-3,,,16.4,0.0,1.8,,,,hydrocarbon,,,cyclopentane,Cyclopentane,,,0.7,hsp_solvents_2,
Cyclopentanone,120-92-3,,,17.9,11.9,5.2,,,,ketone,Organooxygen compounds,Carbonyl compounds,cyclopentanone,Cyclopentanone,,,0.7,hsp_solvents_2,
Cyclopentene,142-29-0,,,16.7,3.8,1.7,,,,hydrocarbon,Unsaturated hydrocarbons,Olefins,cyclopentene,Cyclopentene,,,0.7,hsp_solvents_2,
Cyclopentyl Methyl Ether (Cpme),5614-37-9,,,16.7,4.3,4.3,,,,ether,,,cyclopentyl methyl ether (cpme),Cyclopentyl Methyl Ether (Cpme),,,0.7,hsp_solvents_2,
Cyclopropane,75-19-4,,,17.3,0.0,0.0,,,,hydrocarbon,,,cyclopropane,Cyclopropane,,,0.7,hsp_solvents_2,
Cyclopropene,2781-85-3,,,17.2,2.4,2.0,,,,hydrocarbon,Unsaturated hydrocarbons,Olefins,cyclopropene,Cyclopropene,,,0.7,hsp_solvents_2,
Cyclopropylmethylketone,765-43-5,,,17.0,11.1,4.6,,,,ketone,,,cyclopropylmethylketone,Cyclopropylmethylketone,,,0.7,hsp_solvents_2,
Cyclopropylnitrile,5500-21-0,,,18.6,16.2,5.7,,,,nitrile,Organonitrogen compounds,Organic cyanides,cyclopropylnitrile,Cyclopropylnitrile,,,0.7,hsp_solvents_2,
d-Camphor,464-49-3,,,17.8,10.3,5.2,,,,terpene,,,d-camphor,d-Camphor,,,0.7,hsp_solvents_2,
d-Limonene,5989-27-5,,,17.2,1.8,4.3,,,,terpene,Prenol lipids,Monoterpenoids,d-limonene,d-Limonene,,,0.7,hsp_solvents_2,
DDT,50-29-3,,,20.0,5.5,3.1,,,,halogenated,Benzene and substituted derivatives,Diphenylmethanes,ddt,DDT,,,0.7,hsp_solvents_2,
Decamethylcyclopentasiloxane,541-02-6,,,12.9,1.3,1.0,,,,inorganic,Organometalloid compounds,Organosilicon compounds,decamethylcyclopentasiloxane,Decamethylcyclopentasiloxane,,,0.7,hsp_solvents_2,
Decane,124-18-5,,,15.7,0.0,0.0,,,,hydrocarbon,Saturated hydrocarbons,Alkanes,decane,Decane,,,0.7,hsp_solvents_2,
Di Butyl Fumarate,105-75-9,,,16.7,3.0,6.7,,,,ester,Fatty Acyls,Fatty acid esters,di butyl fumarate,Di Butyl Fumarate,,,0.7,hsp_solvents_2,
Di p-Tolyl Sulfoxide,1774-35-2,,,20.3,11.4,3.1,,,,sulfoxide,,,di p-tolyl sulfoxide,Di p-Tolyl Sulfoxide,,,0.7,hsp_solvents_2,
Di-(2-Chloro-Isopropyl) Ether,108-60-1,,,19.0,8.2,5.1,,,,ether,Organooxygen compounds,Ethers,di-(2-chloro-isopropyl) ether,Di-(2-Chloro-Isopropyl) Ether,,,0.7,hsp_solvents_2,
Di-(2-Chloroethoxy) Methane,111-91-1,,,17.1,10.2,7.1,,,,halogenated,Organooxygen compounds,Ethers,di-(2-chloroethoxy) methane,Di-(2-Chloroethoxy) Methane,,,0.7,hsp_solvents_2,
Di-(2-Chloroethyl) Ether,111-44-4,,,18.8,9.0,5.7,,,,ether,Organooxygen compounds,Ethers,di-(2-chloroethyl) ether,Di-(2-Chloroethyl) Ether,,,0.7,hsp_solvents_2,
Di-(2-Ethyl Hexyl) Sebacate,122-62-3,,,16.2,5.0,9.0,,,,ester,Fatty Acyls,Fatty alcohol esters,di-(2-ethyl hexyl) sebacate,Di-(2-Ethyl Hexyl) Sebacate,,,0.7,hsp_solvents_2,
Di-(2-Ethylhexyl)Azelate,103-24-2,,,16.2,4.7,8.4,,,,ester,Fatty Acyls,Fatty acid esters,di-(2-ethylhexyl)azelate,Di-(2-Ethylhexyl)Azelate,,,0.7,hsp_solvents_2,
Di-(2-Methoxyethyl) Ether,111-96-6,,,15.7,6.1,6.5,,,,ether,Organooxygen compounds,Ethers,di-(2-methoxyethyl) ether,Di-(2-Methoxyethyl) Ether,,,0.7,hsp_solvents_2,
Di-2-Ethylhexyl Amine,106-20-7,,,15.6,0.8,3.2,,,,amine,Organonitrogen compounds,Amines,di-2-ethylhexyl amine,Di-2-Ethylhexyl Amine,,,0.7,hsp_solvents_2,
Di-2-Ethylhexyl Ether,10143-60-9,,,15.9,2.6,2.5,,,,ether,Organooxygen compounds,Ethers,di-2-ethylhexyl ether,Di-2-Ethylhexyl Ether,,,0.7,hsp_solvents_2,
Di-Isobutyl Carbinol,108-82-7,,,14.9,3.1,10.8,,,,alcohol,Organooxygen compounds,Alcohols and polyols,di-isobutyl carbinol,Di-Isobutyl Carbinol,,,0.7,hsp_solvents_2,
Di-Isobutyl Ketone,108-83-8,,,16.0,3.7,4.1,,,,ketone,,,di-isobutyl ketone,Di-Isobutyl Ketone,,,0.7,hsp_solvents_2,
Di-Isobutyl Sulfoxide,3085-40-3,,,16.3,10.5,6.1,,,,sulfoxide,Sulfoxides,,di-isobutyl sulfoxide,Di-Isobutyl Sulfoxide,,,0.7,hsp_solvents_2,
Di-Isodecyl Phthalate,26761-40-0,,,16.6,6.2,2.6,,,,ester,Benzene and substituted derivatives,Benzoic acids and derivatives,di-isodecyl phthalate,Di-Isodecyl Phthalate,,,0.7,hsp_solvents_2,
Di-Isoheptyl Phthalate,71888-89-6,,,16.8,7.2,3.4,,,,ester,,,di-isoheptyl phthalate,Di-Isoheptyl Phthalate,,,0.7,hsp_solvents_2,
Di-Isononyl Adipate,33703-08-1,,,16.7,1.8,4.9,,,,ester,,,di-isononyl adipate,Di-Isononyl Adipate,,,0.7,hsp_solvents_2,
Di-Isononyl Phthalate,28553-12-0,,,16.6,6.6,2.9,,,,ester,Benzene and substituted derivatives,Benzoic acids and derivatives,di-isononyl phthalate,Di-Isononyl Phthalate,,,0.7,hsp_solvents_2,
Di-Isopropyl Methyl Phosphonate,1445-75-6,,,16.4,10.0,5.7,,,,inorganic,Organic phosphonic acids and derivatives,Phosphonic acid diesters,di-isopropyl methyl phosphonate,Di-Isopropyl Methyl Phosphonate,,,0.7,hsp_solvents_2,
Di-Isopropyl Phosphonofluoridate,55-91-4,,,15.7,10.2,5.9,,,,halogenated,Organic phosphoric acids and derivatives,Phosphate esters,di-isopropyl phosphonofluoridate,Di-Isopropyl Phosphonofluoridate,,,0.7,hsp_solvents_2,
Di-Isopropyl Sulfoxide,2211-89-4,,,17.0,11.5,7.4,,,,sulfoxide,,,di-isopropyl sulfoxide,Di-Isopropyl Sulfoxide,,,0.7,hsp_solvents_2,
Di-n-Butyl Ether,142-96-1,,,15.2,3.4,3.2,,,,ether,,,di-n-butyl ether,Di-n-Butyl Ether,,,0.7,hsp_solvents_2,
Di-n-Butyl Sulfoxide,2168-93-6,,,16.4,10.5,6.1,,,,sulfoxide,Sulfoxides,,di-n-butyl sulfoxide,Di-n-Butyl Sulfoxide,,,0.7,hsp_solvents_2,
Di-n-Pentyl Ether,693-65-2,,,15.6,3.1,3.0,,,,ether,,,di-n-pentyl ether,Di-n-Pentyl Ether,,,0.7,hsp_solvents_2,
Di-n-Propyl Ether,111-43-3,,,15.1,3.2,3.2,,,,ether,,,di-n-propyl ether,Di-n-Propyl Ether,,,0.7,hsp_solvents_2,
Di-n-Propyl Sulfoxide,4253-91-2,,,17.0,13.0,7.4,,,,sulfoxide,Sulfoxides,,di-n-propyl sulfoxide,Di-n-Propyl Sulfoxide,,,0.7,hsp_solvents_2,
Di-sec-Butyl Ether,6863-58-7,,,15.2,3.5,3.3,,,,ether,Organooxygen compounds,Ethers,di-sec-butyl ether,Di-sec-Butyl Ether,,,0.7,hsp_solvents_2,
Diacetone Alcohol,123-42-2,,,15.8,8.2,10.8,,,,alcohol,Organooxygen compounds,Carbonyl compounds,diacetone alcohol,Diacetone Alcohol,,,0.7,hsp_solvents_2,
Diallyl Amine,124-02-7,,,15.6,4.5,6.7,,,,amine,Organonitrogen compounds,Amines,diallyl amine,Diallyl Amine,,,0.7,hsp_solvents_2,
Diallyl Ether,557-40-4,,,15.3,4.4,5.3,,,,ether,,,diallyl ether,Diallyl Ether,,,0.7,hsp_solvents_2,
Diazomethane,334-88-3,,,14.7,6.1,11.3,,,,other,"Propargyl-type 1,3-dipolar organic compounds",Diazo compounds,diazomethane,Diazomethane,,,0.7,hsp_solvents_2,
Dibasic Esters (DBE),95481-62- 2,,,16.2,6.5,8.4,,,,ester,,,dibasic esters (dbe),Dibasic Esters (DBE),,,0.7,hsp_solvents_2,
Dibenzyl Ether,103-50-4,,,19.6,3.4,5.2,,,,ether,Benzene and substituted derivatives,Benzylethers,dibenzyl ether,Dibenzyl Ether,,,0.7,hsp_solvents_2,
Dibenzyl Sebacate,140-24-9,,,17.8,2.2,5.5,,,,ester,Benzene and substituted derivatives,Benzyloxycarbonyls,dibenzyl sebacate,Dibenzyl Sebacate,,,0.7,hsp_solvents_2,
Dibromomethane (Methylene Dibromide),74-95-3,,,19.0,6.4,7.0,,,,halogenated,Alkyl halides,Halomethanes,dibromomethane (methylene dibromide),Dibromomethane (Methylene Dibromide),,,0.7,hsp_solvents_2,
Dibutyl Amine,111-92-2,,,15.0,3.0,4.3,,,,amine,Organonitrogen compounds,Amines,dibutyl amine,Dibutyl Amine,,,0.7,hsp_solvents_2,
Dibutyl Ketone,502-56-7,,,16.0,7.7,4.4,,,,ketone,Organooxygen compounds,Carbonyl compounds,dibutyl ketone,Dibutyl Ketone,,,0.7,hsp_solvents_2,
Dibutyl Maleate,105-76-0,,,16.5,6.1,7.2,,,,ester,Fatty Acyls,Fatty acid esters,dibutyl maleate,Dibutyl Maleate,,,0.7,hsp_solvents_2,
Dibutyl Phthalate,84-74-2,,,17.8,8.6,4.1,,,,ester,Benzene and substituted derivatives,Benzoic acids and derivatives,dibutyl phthalate,Dibutyl Phthalate,,,0.7,hsp_solvents_2,
Dibutyl Sebacate,109-43-3,,,16.7,4.5,4.1,,,,ester,Fatty Acyls,Fatty acid esters,dibutyl sebacate,Dibutyl Sebacate,,,0.7,hsp_solvents_2,
Dichloroacetaldehyde,79-02-7,,,16.7,9.1,7.5,,,,halogenated,Organochlorides,,dichloroacetaldehyde,Dichloroacetaldehyde,,,0.7,hsp_solvents_2,
Dichloroacetic Acid,79-43-6,,,18.2,8.1,12.2,,,,acid,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives,dichloroacetic acid,Dichloroacetic Acid,,,0.7,hsp_solvents_2,
Dichloroacetonitrile,3018-12-0,,,17.4,9.4,6.4,,,,nitrile,Organonitrogen compounds,Organic cyanides,dichloroacetonitrile,Dichloroacetonitrile,MeCN; ACN,,0.7,hsp_solvents_2,
Dichlorodifluoromethane (Freon 12),75-71-8,,,14.9,2.0,0.0,,,,halogenated,Alkyl halides,Alkyl chlorides,dichlorodifluoromethane (freon 12),Dichlorodifluoromethane (Freon 12),,,0.7,hsp_solvents_2,
Dichloroethylene (Trans),156-60-5,,,16.7,7.8,3.3,,,,halogenated,Vinyl halides,Vinyl chlorides,dichloroethylene (trans),Dichloroethylene (Trans),,,0.7,hsp_solvents_2,
Dichloromethyl Methyl Ether,4885-02-03 00:00:00,,,17.1,12.9,6.5,,,,ether,,,dichloromethyl methyl ether,Dichloromethyl Methyl Ether,,,0.7,hsp_solvents_2,
Dichloromonofluoromethane (Freon21),75-43-4,,,15.8,3.1,5.7,,,,halogenated,Alkyl halides,Halomethanes,dichloromonofluoromethane (freon21),Dichloromonofluoromethane (Freon21),,,0.7,hsp_solvents_2,
Diethanolamine,111-42-2,,,17.2,7.0,19.0,,,,alcohol,Organonitrogen compounds,Amines,diethanolamine,Diethanolamine,,,0.7,hsp_solvents_2,
Diethyl Adipate,141-28-6,,,16.4,6.2,7.5,,,,ester,,,diethyl adipate,Diethyl Adipate,,,0.7,hsp_solvents_2,
Diethyl Amine,109-89-7,,,14.9,2.3,6.1,,,,amine,Organonitrogen compounds,Amines,diethyl amine,Diethyl Amine,,,0.7,hsp_solvents_2,
Diethyl Carbonate,105-58-8,,,15.1,6.3,3.5,,,,ester,Organic carbonic acids and derivatives,Carbonic acid diesters,diethyl carbonate,Diethyl Carbonate,DEC,,0.7,hsp_solvents_2,
Diethyl Ether,60-29-7,,,14.5,2.9,4.6,,,,ether,Organooxygen compounds,Ethers,diethyl ether,Diethyl Ether,Et2O; DEE,,0.7,hsp_solvents_2,
Diethyl Glutarate,818-38-2,,,16.3,7.0,7.8,,,,ester,Fatty Acyls,Fatty acid esters,diethyl glutarate,Diethyl Glutarate,,,0.7,hsp_solvents_2,
Diethyl Ketone,96-22-0,,,15.8,7.6,4.7,,,,ketone,,,diethyl ketone,Diethyl Ketone,,,0.7,hsp_solvents_2,
Diethyl Malonate,105-53-3,,,16.1,7.7,8.3,,,,ester,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,diethyl malonate,Diethyl Malonate,,,0.7,hsp_solvents_2,
Diethyl Oxalate,95-92-1,,,16.2,8.0,8.8,,,,ester,,,diethyl oxalate,Diethyl Oxalate,,,0.7,hsp_solvents_2,
Diethyl Phthalate,84-66-2,,,17.6,9.6,4.5,,,,ester,Benzene and substituted derivatives,Benzoic acids and derivatives,diethyl phthalate,Diethyl Phthalate,,,0.7,hsp_solvents_2,
Diethyl Succinate,123-25-1,,,16.2,6.8,8.7,,,,ester,Fatty Acyls,Fatty acid esters,diethyl succinate,Diethyl Succinate,,,0.7,hsp_solvents_2,
Diethyl Sulfate,64-67-5,,,15.7,12.7,5.1,,,,sulfur compound,,,diethyl sulfate,Diethyl Sulfate,,,0.7,hsp_solvents_2,
Diethyl Sulfide,352-93-2,,,16.8,3.1,2.0,,,,sulfur compound,,,diethyl sulfide,Diethyl Sulfide,,,0.7,hsp_solvents_2,
Diethyldisulfide,110-81-6,,,17.0,6.7,5.7,,,,sulfur compound,Organic disulfides,Dialkyldisulfides,diethyldisulfide,Diethyldisulfide,,,0.7,hsp_solvents_2,
Diethylene Glycol,111-46-6,,,16.6,12.0,19.0,,,,glycol,,,diethylene glycol,Diethylene Glycol,DEG,,0.7,hsp_solvents_2,
Diethylene Glycol Butyl Ether Acetate,124-17-4,,,16.0,4.1,8.2,,,,ester,Carboxylic acids and derivatives,Carboxylic acid derivatives,diethylene glycol butyl ether acetate,Diethylene Glycol Butyl Ether Acetate,,,0.7,hsp_solvents_2,
Diethylene Glycol Dibutyl Ether,112-73-2,,,15.8,4.7,4.4,,,,ether,Organooxygen compounds,Ethers,diethylene glycol dibutyl ether,Diethylene Glycol Dibutyl Ether,,,0.7,hsp_solvents_2,
Diethylene Glycol Diethyl Ether,112-36-7,,,15.8,5.9,5.6,,,,ether,,,diethylene glycol diethyl ether,Diethylene Glycol Diethyl Ether,,,0.7,hsp_solvents_2,
Diethylene Glycol Divinyl Ether,764-99-8,,,16.0,7.3,7.9,,,,ether,Organooxygen compounds,Ethers,diethylene glycol divinyl ether,Diethylene Glycol Divinyl Ether,,,0.7,hsp_solvents_2,
Diethylene Glycol Hexyl Ether,112-59-4,,,16.0,6.0,10.0,,,,ether,,,diethylene glycol hexyl ether,Diethylene Glycol Hexyl Ether,,,0.7,hsp_solvents_2,
Diethylene Glycol Methyl t-Butyl Ether,52788-79-1,,,16.0,7.2,7.2,,,,ether,Organooxygen compounds,Ethers,diethylene glycol methyl t-butyl ether,Diethylene Glycol Methyl t-Butyl Ether,,,0.7,hsp_solvents_2,
Diethylene Glycol Monobutyl Ether,112-34-5,,,16.0,7.0,10.6,,,,glycol ether,Organooxygen compounds,Ethers,diethylene glycol monobutyl ether,Diethylene Glycol Monobutyl Ether,,,0.7,hsp_solvents_2,
Diethylene Glycol Monoethyl Ether,111-90-0,,,16.1,9.2,12.2,,,,glycol ether,Organooxygen compounds,Ethers,diethylene glycol monoethyl ether,Diethylene Glycol Monoethyl Ether,,,0.7,hsp_solvents_2,
Diethylene Glycol Monoethyl Ether Acetate,112-15-2,,,16.2,5.1,9.2,,,,glycol ether,Carboxylic acids and derivatives,Carboxylic acid derivatives,diethylene glycol monoethyl ether acetate,Diethylene Glycol Monoethyl Ether Acetate,,,0.7,hsp_solvents_2,
Diethylene Glycol Monomethyl Ether,111-77-3,,,16.2,7.8,12.6,,,,glycol ether,Organooxygen compounds,Ethers,diethylene glycol monomethyl ether,Diethylene Glycol Monomethyl Ether,,,0.7,hsp_solvents_2,
Diethylene Glycol Monopropyl Ether,6881-94-3,,,16.0,7.2,11.3,,,,glycol ether,Organooxygen compounds,Ethers,diethylene glycol monopropyl ether,Diethylene Glycol Monopropyl Ether,,,0.7,hsp_solvents_2,
Diethylenetriamine,111-40-0,,,16.7,7.1,14.3,,,,amine,Organonitrogen compounds,Amines,diethylenetriamine,Diethylenetriamine,,,0.7,hsp_solvents_2,
Diethylhexyl Phthalate (Dioctyl Phthalate),117-81-7,,,16.6,7.0,3.1,,,,ester,Benzene and substituted derivatives,Benzoic acids and derivatives,diethylhexyl phthalate (dioctyl phthalate),Diethylhexyl Phthalate (Dioctyl Phthalate),,,0.7,hsp_solvents_2,
Dihexyl Ether,112-58-3,,,16.0,3.0,2.8,,,,ether,Organooxygen compounds,Ethers,dihexyl ether,Dihexyl Ether,,,0.7,hsp_solvents_2,
Dihexyl Phthalate,84-75-3,,,17.0,7.6,3.6,,,,ester,Benzene and substituted derivatives,Benzoic acids and derivatives,dihexyl phthalate,Dihexyl Phthalate,,,0.7,hsp_solvents_2,
Dihydrogen Disulfide,13465-07-1,,,17.3,6.3,10.7,,,,sulfur compound,Other non-metal organides,Other non-metal sulfides,dihydrogen disulfide,Dihydrogen Disulfide,,,0.7,hsp_solvents_2,
Dihydropyran,110-87-2,,,17.5,5.5,5.7,,,,ether,Oxacyclic compounds,,dihydropyran,Dihydropyran,,,0.7,hsp_solvents_2,
Diisobutyl Adipate,141-04-8,,,16.7,2.5,6.2,,,,ester,Fatty Acyls,Fatty acid esters,diisobutyl adipate,Diisobutyl Adipate,,,0.7,hsp_solvents_2,
Diisopropylamine,108-18-9,,,14.8,1.7,3.5,,,,amine,,,diisopropylamine,Diisopropylamine,,,0.7,hsp_solvents_2,
Diketene,674-82-8,,,16.2,14.5,7.8,,,,ketone,Lactones,Beta propiolactones,diketene,Diketene,,,0.7,hsp_solvents_2,
Dimethoxymethane,109-87-5,,,15.0,1.8,8.6,,,,ether,Organooxygen compounds,Ethers,dimethoxymethane,Dimethoxymethane,DMM,,0.7,hsp_solvents_2,
Dimethyl 2-Methylglutarate,14035-94-0,,,16.6,8.7,5.0,,,,ester,Fatty Acyls,Fatty acid esters,dimethyl 2-methylglutarate,Dimethyl 2-Methylglutarate,,,0.7,hsp_solvents_2,
Dimethyl Acetylene,503-17-3,,,15.1,3.4,7.6,,,,hydrocarbon,Unsaturated hydrocarbons,Acetylenes,dimethyl acetylene,Dimethyl Acetylene,,,0.7,hsp_solvents_2,
Dimethyl Adipate,627-93-0,,,16.3,6.8,8.5,,,,ester,,,dimethyl adipate,Dimethyl Adipate,,,0.7,hsp_solvents_2,
Dimethyl Amine,124-40-3,,,15.3,4.8,11.2,,,,amine,,,dimethyl amine,Dimethyl Amine,,,0.7,hsp_solvents_2,
Dimethyl Carbonate,616-38-6,,,15.5,8.6,9.7,,,,ester,,,dimethyl carbonate,Dimethyl Carbonate,DMC,,0.7,hsp_solvents_2,
Dimethyl Cellosolve,110-71-4,,,15.4,6.0,6.0,,,,glycol ether,Organooxygen compounds,Ethers,dimethyl cellosolve,Dimethyl Cellosolve,,,0.7,hsp_solvents_2,
Dimethyl Disulfide,624-92-0,,,17.6,7.8,6.5,,,,sulfur compound,Organic disulfides,Dialkyldisulfides,dimethyl disulfide,Dimethyl Disulfide,,,0.7,hsp_solvents_2,
Dimethyl Ethanolamine,108-01-0,,,16.1,9.2,14.0,,,,alcohol,,,dimethyl ethanolamine,Dimethyl Ethanolamine,,,0.7,hsp_solvents_2,
Dimethyl Ether,115-10-6,,,15.2,6.1,5.7,,,,ether,Organooxygen compounds,Ethers,dimethyl ether,Dimethyl Ether,,,0.7,hsp_solvents_2,
Dimethyl Formamide (DMF),68-12-2,,,17.4,13.7,11.3,,,,amide,Carboxylic acids and derivatives,Carboxylic acid derivatives,dimethyl formamide (dmf),Dimethyl Formamide (DMF),,,0.7,hsp_solvents_2,
Dimethyl Glutarate,1119-40-0,,,16.1,7.7,8.3,,,,ester,,,dimethyl glutarate,Dimethyl Glutarate,,,0.7,hsp_solvents_2,
Dimethyl Isosorbide,5306-85-4,,,17.6,7.1,7.5,,,,ether,,,dimethyl isosorbide,Dimethyl Isosorbide,,,0.7,hsp_solvents_2,
Dimethyl Ketene,598-26-5,,,15.2,7.4,4.8,,,,ketone,Organooxygen compounds,Ketenes,dimethyl ketene,Dimethyl Ketene,,,0.7,hsp_solvents_2,
Dimethyl Maleate,624-48-6,,,16.3,8.3,9.8,,,,ester,,,dimethyl maleate,Dimethyl Maleate,,,0.7,hsp_solvents_2,
Dimethyl Methyl Phosphonate,756-79-6,,,16.7,13.1,7.5,,,,inorganic,,,dimethyl methyl phosphonate,Dimethyl Methyl Phosphonate,,,0.7,hsp_solvents_2,
Dimethyl Phthalate,131-11-3,,,18.6,10.8,4.9,,,,ester,,,dimethyl phthalate,Dimethyl Phthalate,,,0.7,hsp_solvents_2,
Dimethyl Sebacate,106-79-6,,,16.6,2.9,6.7,,,,ester,Fatty Acyls,Fatty acid esters,dimethyl sebacate,Dimethyl Sebacate,,,0.7,hsp_solvents_2,
Dimethyl Succinate,106-65-0,,,16.1,7.7,8.8,,,,ester,,,dimethyl succinate,Dimethyl Succinate,,,0.7,hsp_solvents_2,
Dimethyl Sulfate,77-78-1,,,16.5,13.0,7.0,,,,sulfur compound,Organic sulfuric acids and derivatives,Sulfuric acid esters,dimethyl sulfate,Dimethyl Sulfate,DMS,,0.7,hsp_solvents_2,
Dimethyl Sulfide,75-18-3,,,16.1,6.4,7.4,,,,sulfur compound,Thioethers,Dialkylthioethers,dimethyl sulfide,Dimethyl Sulfide,,,0.7,hsp_solvents_2,
Dimethyl Sulfone,67-71-0,,,19.0,19.4,12.3,,,,sulfoxide,Sulfonyls,Sulfones,dimethyl sulfone,Dimethyl Sulfone,,,0.7,hsp_solvents_2,
Dimethyl Sulfoxide (DMSO),67-68-5,,,18.4,16.4,10.2,,,,sulfoxide,,,dimethyl sulfoxide (dmso),Dimethyl Sulfoxide (DMSO),DMSO,,0.7,hsp_solvents_2,
Dioctyl Adipate,123-79-5,,,16.7,2.0,5.1,,,,ester,Fatty Acyls,Fatty alcohol esters,dioctyl adipate,Dioctyl Adipate,,,0.7,hsp_solvents_2,
Dipentene (Dl-Limonene),138-86-3,,,17.2,1.8,4.3,,,,terpene,Prenol lipids,Monoterpenoids,dipentene (dl-limonene),Dipentene (Dl-Limonene),,,0.7,hsp_solvents_2,
Diphenyl Acetylene (0 Dipole Moment),501-65-5,,,18.0,2.0,3.2,,,,aromatic,Benzene and substituted derivatives,,diphenyl acetylene (0 dipole moment),Diphenyl Acetylene (0 Dipole Moment),,,0.7,hsp_solvents_2,
Diphenyl Acetylene (P By Group Cont.),501-65-5,,,18.0,2.0,3.2,,,,aromatic,Benzene and substituted derivatives,,diphenyl acetylene (p by group cont.),Diphenyl Acetylene (P By Group Cont.),,,0.7,hsp_solvents_2,
Diphenyl Ether,101-84-8,,,19.4,3.4,4.0,,,,ether,Benzene and substituted derivatives,Diphenylethers,diphenyl ether,Diphenyl Ether,,,0.7,hsp_solvents_2,
Diphenyl Sulfone,127-63-9,,,21.1,14.4,3.4,,,,sulfoxide,Benzene and substituted derivatives,Benzenesulfonyl compounds,diphenyl sulfone,Diphenyl Sulfone,,,0.7,hsp_solvents_2,
Diphenylamine,122-39-4,,,20.0,3.3,5.9,,,,amine,Benzene and substituted derivatives,Aniline and substituted anilines,diphenylamine,Diphenylamine,,,0.7,hsp_solvents_2,
Diphenylmethane,101-81-5,,,19.5,1.0,1.0,,,,aromatic,,,diphenylmethane,Diphenylmethane,,,0.7,hsp_solvents_2,
Dipropyl Amine,142-84-7,,,15.3,1.4,4.1,,,,amine,,,dipropyl amine,Dipropyl Amine,,,0.7,hsp_solvents_2,
Dipropyl Ketone,123-19-3,,,15.8,7.6,4.9,,,,ketone,Organooxygen compounds,Carbonyl compounds,dipropyl ketone,Dipropyl Ketone,,,0.7,hsp_solvents_2,
Dipropylene Glycol,2396-61-4,,,16.5,10.6,17.7,,,,glycol,Organooxygen compounds,Ethers,dipropylene glycol,Dipropylene Glycol,,,0.7,hsp_solvents_2,
Dipropylene Glycol Methyl Ether,112-28-7,,,15.5,5.7,11.2,,,,ether,Organooxygen compounds,Ethers,dipropylene glycol methyl ether,Dipropylene Glycol Methyl Ether,,,0.7,hsp_solvents_2,
Dipropylene Glycol Mono n-Butyl Ether,29911-28-2,,,15.7,6.5,10.0,,,,glycol ether,,,dipropylene glycol mono n-butyl ether,Dipropylene Glycol Mono n-Butyl Ether,,,0.7,hsp_solvents_2,
