name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,category,cf_class,cf_subclass,name_iupac,name_common,name_acronyms,ghs_hazard,confidence,source,source_url
"2,3-Dichloro-1,3-Butadiene",1653-19-6,ClC(=C)C(Cl)=C,C4H4Cl2,17.1,2.3,2.8,122.98,98.1,,halogenated,Vinyl halides,Vinyl chlorides,"2,3-dichlorobuta-1,3-diene","2,3-Dichloro-1,3-Butadiene",,H302; H315; H319; H335; H411,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/15447
"2,3-Dichloronitrobenzene",3209-22-1,[O-][N+](=O)c1cccc(Cl)c1Cl,C6H3Cl2NO2,19.7,12.6,4.4,192.0,257.6,,aromatic,Benzene and substituted derivatives,Nitrobenzenes,"1,2-dichloro-3-nitrobenzene","2,3-Dichloronitrobenzene",,H301; H302; H373; H411; H401; H315; H370,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/18555
"2,3-Dichloropropanol",616-23-9,OCC(Cl)CCl,C3H6Cl2O,17.5,9.2,14.6,128.98,182.9,,alcohol,Halohydrins,Chlorohydrins,"2,3-dichloropropan-1-ol","2,3-Dichloropropanol",,H301; H310; H315; H318; H319; H332; H227; H371; H373,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12018
"2,3-Dichloropropene",78-88-6,ClCC(Cl)=C,C3H4Cl2,16.2,7.8,3.0,110.97,94.1,,halogenated,Vinyl halides,Vinyl chlorides,"2,3-dichloroprop-1-ene","2,3-Dichloropropene",,H225; H302; H312; H315; H318; H332; H335; H341; H412; H319; H336,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6565
"2,4,5-Trichlorothiophenol",3773-14-6,Sc1cc(Cl)c(Cl)cc1Cl,C6H3Cl3S,21.0,4.5,9.1,213.5,,,alcohol,Thiophenols,,"2,4,5-trichlorobenzenethiol","2,4,5-Trichlorothiophenol",,H315; H318; H319; H335; H413,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/19597
"2,4,6-Tribromo Phenol",118-79-6,Oc1c(Br)cc(Br)cc1Br,C6H3Br3O,20.6,10.2,14.1,330.8,,,alcohol,Phenols,Halophenols,"2,4,6-tribromophenol","2,4,6-Tribromo Phenol",,H317; H319; H400; H410; H302; H361; H371; H373,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/1483
"2,4,6-Trichloroanisol",87-40-1,COc1c(Cl)cc(Cl)cc1Cl,C7H5Cl3O,21.0,3.9,7.0,211.5,,,halogenated,Phenol ethers,Anisoles,"1,3,5-trichloro-2-methoxybenzene","2,4,6-Trichloroanisol",,H302; H319; H413,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6884
"2,4,6-Trichlorophenol",88-06-2,Oc1c(Cl)cc(Cl)cc1Cl,C6H3Cl3O,20.3,5.1,10.8,197.4,246.1,,alcohol,Phenols,Halophenols,"2,4,6-trichlorophenol","2,4,6-Trichlorophenol",,H302; H315; H319; H351; H400; H410; H335; H361; H370; H372; H411,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6914
"2,4-Dichloro-3-Fluoronitrobenzene",393-79-3,[O-][N+](=O)c1ccc(Cl)c(F)c1Cl,C6H2Cl2FNO2,19.9,7.2,4.2,209.99,,,aromatic,Benzene and substituted derivatives,Nitrobenzenes,"1,3-dichloro-2-fluoro-4-nitrobenzene","2,4-Dichloro-3-Fluoronitrobenzene",,H302; H312; H332,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/223081
"2,4-Dichloro-5-Nitrobenzotrifluoride",400-70-4,[O-][N+](=O)c1cc(c(Cl)cc1Cl)C(F)(F)F,C7H2Cl2F3NO2,19.9,7.6,3.7,259.99,,,aromatic,Benzene and substituted derivatives,Trifluoromethylbenzenes,"1,5-dichloro-2-nitro-4-(trifluoromethyl)benzene","2,4-Dichloro-5-Nitrobenzotrifluoride",,H302; H315; H319; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/621179
"2,4-Dichloroaniline",554-00-7,Nc1ccc(Cl)cc1Cl,C6H5Cl2N,20.9,6.2,10.0,162.01,245.1,,aromatic,Benzene and substituted derivatives,Halobenzenes,"2,4-dichloroaniline","2,4-Dichloroaniline",,H301; H311; H331; H373; H400; H410; H302; H370; H372; H317; H318,1.0,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/11123
"2,4-Dichlorobenzaldehyde",874-42-0,Clc1ccc(C=O)c(Cl)c1,C7H4Cl2O,19.7,8.8,5.4,175.01,233.1,,aromatic,Benzene and substituted derivatives,Halobenzenes,"2,4-dichlorobenzaldehyde","2,4-Dichlorobenzaldehyde",,H314; H318; H411,1.0,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/13404
"2,4-Dichloronitrobenzene",611-06-3,[O-][N+](=O)c1ccc(Cl)cc1Cl,C6H3Cl2NO2,20.4,8.7,4.2,192.0,258.6,,aromatic,Benzene and substituted derivatives,Nitrobenzenes,"2,4-dichloro-1-nitrobenzene","2,4-Dichloronitrobenzene",,H302; H311; H315; H317; H319; H335; H341; H350; H411; H351; H361; H373; H312,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/11899
"2,4-Dichlorophenol",120-83-2,Oc1ccc(Cl)cc1Cl,C6H4Cl2O,20.0,7.2,13.1,163.0,210.1,,aromatic,Benzene and substituted derivatives,Halobenzenes,"2,4-dichlorophenol","2,4-Dichlorophenol",,H302; H311; H314; H411; H300; H318; H331; H335; H336; H370; H401; H410,1.0,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/8449
"2,4-Difluoronitrobenzene",446-35-5,[O-][N+](=O)c1ccc(F)cc1F,C6H3F2NO2,19.4,11.0,3.7,159.09,207.1,,aromatic,Benzene and substituted derivatives,Nitrobenzenes,"2,4-difluoro-1-nitrobenzene","2,4-Difluoronitrobenzene",,H301; H311; H315; H319; H330; H335; H227; H310; H371; H401; H411,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/67967
"2,4-Dimethylaniline",95-68-1,Cc1ccc(N)c(C)c1,C8H11N,19.2,5.2,8.7,121.18,218.1,,aromatic,Benzene and substituted derivatives,Xylenes,"2,4-dimethylaniline","2,4-Dimethylaniline",,H301; H311; H319; H330; H331; H373; H411; H227; H302; H332; H370; H372; H312; H315; H335; H341; H351,1.0,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7250
"2,4-Dinitrotoluene",121-14-2,Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,C7H6N2O4,20.0,13.1,4.9,182.13,,,aromatic,Benzene and substituted derivatives,Toluenes,"1-methyl-2,4-dinitrobenzene","2,4-Dinitrotoluene",,H301; H311; H331; H341; H350; H361; H373; H400; H410; H330; H336; H370; H372; H302; H316; H351,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/8461
"2,5-Dichlorobenzotrifluoride",320-50-3,FC(F)(F)c1cc(Cl)ccc1Cl,C7H3Cl2F3,20.0,4.7,2.4,215.0,,,aromatic,Benzene and substituted derivatives,Trifluoromethylbenzenes,"1,4-dichloro-2-(trifluoromethyl)benzene","2,5-Dichlorobenzotrifluoride",,H314,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/35360
"2,5-Dichlorophenol",583-78-8,Oc1cc(Cl)ccc1Cl,C6H4Cl2O,20.0,6.3,12.1,163.0,211.1,,aromatic,Benzene and substituted derivatives,Halobenzenes,"2,5-dichlorophenol","2,5-Dichlorophenol",,H302; H314; H315; H318; H319; H411; H335; H371; H372; H401,1.0,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/66
"2,5-Diethoxy Tetrahydrofuran",3320-90-9,CCOC1CCC(OCC)O1,C8H16O3,16.6,6.4,7.3,160.21,170.6,,ether,Tetrahydrofurans,,"2,5-diethoxyoxolane","2,5-Diethoxy Tetrahydrofuran",THF,H226,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/95500
"2,5-Dimethoxytetrahydrofuran",696-59-3,COC1CCC(OC)O1,C6H12O3,16.8,7.2,8.2,132.16,145.8,,ether,Tetrahydrofurans,,"2,5-dimethoxyoxolane","2,5-Dimethoxytetrahydrofuran",THF,H226; H315; H318; H319; H335,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/79098
"2,5-Dimethyl Pyrrole",625-84-3,Cc1[nH]c(C)cc1,C6H9N,18.3,7.6,6.8,95.14,,,heterocyclic,Pyrroles,Substituted pyrroles,"2,5-dimethyl-1H-pyrrole","2,5-Dimethyl Pyrrole",,H226; H301,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12265
"2,5-Tetrahydrofuran Dimethanol",104-80-3,,C6H12O3,17.9,8.5,18.9,132.16,,,alcohol,,,[5-(hydroxymethyl)oxolan-2-yl]methanol,"2,5-Tetrahydrofuran Dimethanol",THF,H315; H319; H335,0.795,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/97792
"2,6-Dichloro-7-Methyl Purine",2273-93-0,Cn1cnc2nc(Cl)nc(Cl)c12,C6H4Cl2N4,20.5,11.7,14.2,203.03,,,halogenated,Imidazopyrimidines,Purines and purine derivatives,"2,6-dichloro-7-methylpurine","2,6-Dichloro-7-Methyl Purine",,H302; H315; H319; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/75281
"2,6-Dichloroanisole",1984-65-2,COc1c(Cl)cccc1Cl,C7H6Cl2O,19.8,8.4,6.5,177.02,,,aromatic,Benzene and substituted derivatives,Halobenzenes,"1,3-dichloro-2-methoxybenzene","2,6-Dichloroanisole",,H302; H315; H319; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/16127
"2,6-Dichlorophenol",87-65-0,Oc1c(Cl)cccc1Cl,C6H4Cl2O,20.1,7.5,10.9,163.0,219.1,,aromatic,Benzene and substituted derivatives,Halobenzenes,"2,6-dichlorophenol","2,6-Dichlorophenol",,H314; H411; H315; H319; H371; H401,1.0,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6899
"2,6-Difluorobenzonitrile",1897-52-5,Fc1cccc(F)c1C#N,C7H3F2N,18.8,11.2,3.2,139.1,,,aromatic,Benzene and substituted derivatives,Benzonitriles,"2,6-difluorobenzonitrile","2,6-Difluorobenzonitrile",,H302; H312; H315; H319; H332; H335,0.975,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/74695
"2,6-Dimethoxy Phenol",91-10-1,COc1cccc(OC)c1O,C8H10O3,19.3,7.6,13.7,154.16,264.6,,alcohol,Phenols,Methoxyphenols,"2,6-dimethoxyphenol","2,6-Dimethoxy Phenol",,H302,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7041
