name_iupac,name_common,name_acronyms,cas,mol_formula,smiles,dD,dP,dH,radius,mw,bp_c,density_g_ml,cf_class,cf_subclass,ghs_hazard,processing_notes
"1,1-dichloroethane","1,1-Dichloroethane",,75-34-3,C2H4Cl2,CC(Cl)Cl,16.5,7.8,3.0,,98.96,,,Organochlorides,,H225; H302; H319; H335; H412; H332; H315; H336; H341; H370; H402; H411; H333; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 75-34-3 validated by pipeline
"1,1-dichloroethene","1,1-Dichloroethylene",,75-35-4,C2H2Cl2,ClC(Cl)=C,16.4,5.2,2.4,,96.94,31.4,,Organooxygen compounds,Ketene acetals,H224; H332; H351; H302; H319; H372; H412; H341; H350; H401; H336; H361; H370; H305; H331; H373; H301; H315,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 75-35-4 validated by pipeline
"1,1-dichloropropane","1,1-Dichloropropane",,78-99-9,C3H6Cl2,CCC(Cl)Cl,16.1,7.8,3.5,,112.98,88.1,,Organochlorides,,H225; H315; H319; H332; H335; H351; H402; H412,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 78-99-9 validated by pipeline
"1,1-dichloroprop-1-ene","1,1-Dichloropropene",,563-58-6,C3H4Cl2,CC=C(Cl)Cl,16.9,6.7,2.9,,110.97,76.6,,Organooxygen compounds,Ketene acetals,H225; H301; H412,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 563-58-6 validated by pipeline
"1,1-diethoxybutane","1,1-Diethoxy Butane",,3658-95-5,C8H18O2,CCCC(OCC)OCC,15.4,4.9,4.6,,146.23,143.1,,Organooxygen compounds,Ethers,H225; H226; H315; H317; H319,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 3658-95-5 validated by pipeline
"1,1-diethoxyethane","1,1-Diethoxy Ethane",,105-57-7,C6H14O2,CCOC(C)OCC,15.0,3.4,4.0,,118.17,,,Organooxygen compounds,Ethers,H225; H315; H319; H318; H320; H335; H336,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 105-57-7 validated by pipeline
"1,1-difluoroethane","1,1-Difluoroethane",,75-37-6,C2H4F2,CC(F)F,14.9,9.3,2.9,,66.05,-24.7,,Organofluorides,,H220; H280; H336,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organofluorides | [CAS] CAS 75-37-6 validated by pipeline
"1,1-difluoroethene","1,1-Difluoroethylene",,75-38-7,C2H2F2,FC(F)=C,15.0,5.7,3.6,,64.03,-82.9,,Organooxygen compounds,Ketene acetals,H220; H230; H280; H340; H350; H336,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 75-38-7 validated by pipeline
"1,1-dimethoxyethane","1,1-Dimethoxy Ethane",,534-15-6,C4H10O2,COC(C)OC,15.1,4.9,4.9,,90.12,62.9,,Organooxygen compounds,Ethers,H225,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 534-15-6 validated by pipeline
"1,1-dimethylhydrazine","1,1-Dimethyl Hydrazine",,57-14-7,C2H8N2,CN(C)N,15.3,5.9,11.0,,60.1,64.0,,Organonitrogen compounds,Hydrazines and derivatives,H225; H301; H314; H331; H350; H411; H311; H335; H317; H312; H315; H319; H330; H341; H351; H370; H372; H340; H361,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organonitrogen compounds | [CAS] CAS 57-14-7 validated by pipeline
"1,2,3,4-tetramethylbenzene","1,2,3,4-Tetramethylbenzene",,488-23-3,C10H14,Cc1ccc(C)c(C)c1C,18.8,0.5,0.5,,134.22,,,Benzene and substituted derivatives,,H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 488-23-3 validated by pipeline
"1,2,3,5-tetramethylbenzene","1,2,3,5-Tetramethylbenzene",,527-53-7,C10H14,Cc1cc(C)c(C)c(C)c1,18.6,0.5,0.5,,134.22,,,Benzene and substituted derivatives,,H315; H319,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 527-53-7 validated by pipeline
2H-benzotriazole,"1,2,3-Benzotriazole",,95-14-7,C6H5N3,[nH]1nnc2ccccc12,18.7,15.6,12.4,,119.12,,,Benzotriazoles,,H411; H302; H319; H332; H412; H336; H371; H402,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzotriazoles | [CAS] CAS 95-14-7 validated by pipeline
2H-triazole,"1,2,3-Triazole",,288-36-8,C2H3N3,[nH]1ccnn1,20.7,8.8,15.0,,69.07,,,Azoles,Triazoles,H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Azoles | [CAS] CAS 288-36-8 validated by pipeline
"1,2,3-trichloroprop-1-ene","1,2,3-Trichloro Propene",,96-19-5,C3H3Cl3,ClCC(Cl)=CCl,17.8,7.8,3.4,,145.41,,,Vinyl halides,Vinyl chlorides,H227; H301; H302; H311; H315; H319; H330; H331; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Vinyl halides | [CAS] CAS 96-19-5 validated by pipeline
"1,2,3-trichloropropane","1,2,3-Trichloropropane",,96-18-4,C3H5Cl3,ClCC(Cl)CCl,17.8,12.3,3.4,,147.43,,,Organochlorides,,H302; H312; H332; H350; H360; H301; H311; H319; H331; H341; H372; H373; H411; H227; H330; H335; H370; H401; H336; H371,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 96-18-4 validated by pipeline
"1,2,4,5-tetrachlorobenzene","1,2,4,5-Tetrachlorobenzene",,95-94-3,C6H2Cl4,Clc1cc(Cl)c(Cl)cc1Cl,21.2,10.7,3.4,,215.9,243.1,,Benzene and substituted derivatives,Halobenzenes,H302; H315; H319; H335; H400; H410; H336; H361; H362; H372; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 95-94-3 validated by pipeline
"1,2,4-trichlorobenzene","1,2,4-Trichlorobenzene",,120-82-1,C6H3Cl3,Clc1ccc(Cl)c(Cl)c1,20.2,4.2,3.2,,181.4,213.6,,Benzene and substituted derivatives,Halobenzenes,H302; H315; H400; H410; H319; H335; H336; H351; H373; H316,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 120-82-1 validated by pipeline
"buta-1,2-diene","1,2-Butadiene",,590-19-2,C4H6,C[CH]=[C]=[CH2],15.0,1.7,6.2,,54.09,10.9,,Acyclic allenes,,H220; H224; H280; H411,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Acyclic allenes | [CAS] CAS 590-19-2 validated by pipeline
"1,2-chlorobromoethylene","1,2-Chlorobromoethylene",,,,,17.2,6.6,2.3,,,,,,,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire not available | [CAS] CAS not available in source
"cyclohexane-1,2-diol","1,2-Cyclohexanediol",,931-17-9,C6H12O2,OC1CCCCC1O,17.4,9.8,18.3,,116.16,,,Organooxygen compounds,Alcohols and polyols,H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 931-17-9 validated by pipeline
"cyclohexane-1,2-dione","1,2-Cyclohexanedione",,765-87-7,C6H8O2,O=C1CCCCC1=O,18.6,10.3,8.0,,112.13,194.1,,Organooxygen compounds,Carbonyl compounds,H302; H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 765-87-7 validated by pipeline
"1,2-dibromoethene","1,2-Dibromoethylene",,540-49-8,C2H2Br2,BrC=CBr,17.0,4.9,3.0,,185.85,111.9,,Vinyl halides,Vinyl bromides,H301; H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Vinyl halides | [CAS] CAS 540-49-8 validated by pipeline
"(Z)-1,2-dichloroethene","1,2-Dichloroethylene (Cis)",,156-59-2,,,17,8,3.2,,,,,Vinyl halides,Vinyl chlorides,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Vinyl halides | [CAS] CAS 156-59-2 validated by pipeline
"1,2-dichloropropane","1,2-Dichloropropane",,78-87-5,C3H6Cl2,CC(Cl)CCl,17.3,7.1,2.9,,112.98,,,Organochlorides,,H225; H302; H332; H350; H331; H317; H319; H336; H341; H361; H370; H372; H373; H401; H411; H315; H335; H351; H316,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 78-87-5 validated by pipeline
"(Z)-1,2-dichloroprop-1-ene","1,2-Dichloropropene (Cis)",,6923-20-2,,,17,8.5,2.9,,,,,Vinyl halides,Vinyl chlorides,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Vinyl halides | [CAS] CAS 6923-20-2 validated by pipeline
"1,2-dichloro-1-ethoxyethene","1,2-Dichlorovinyl Ethyl Ether",,42345-82-4,C4H6Cl2O,CCOC(Cl)=CCl,16.9,10.5,6.0,,140.99,,,Vinyl halides,Vinyl chlorides,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Vinyl halides | [CAS] CAS 42345-82-4 validated by pipeline
"1,2-diethylbenzene","1,2-Diethyl Benzene",,135-01-3,C10H14,CCc1ccccc1CC,17.7,0.1,1.0,,134.22,,,Benzene and substituted derivatives,,H226; H304; H315; H319; H335; H411; H412; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 135-01-3 validated by pipeline
"benzene-1,2-diol","1,2-Dihydroxybenzene (Catechol)",,120-80-9,,,20,11.3,21.8,,,,,Phenols,Benzenediols,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Phenols | [CAS] CAS 120-80-9 validated by pipeline
"1,2-dimethoxybenzene","1,2-Dimethoxybenzene",,91-16-7,C8H10O2,COc1ccccc1OC,19.2,4.4,9.4,,138.16,206.1,,Benzene and substituted derivatives,Methoxybenzenes,H302; H371,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 91-16-7 validated by pipeline
"1,2-dinitrobenzene","1,2-Dinitrobenzene",,528-29-0,C6H4N2O4,[O-][N+](=O)c1ccccc1[N+]([O-])=O,20.6,11.6,3.9,,168.11,,,Benzene and substituted derivatives,Nitrobenzenes,H300; H310; H330; H373; H400; H410; H370; H372; H317; H319; H361; H316; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 528-29-0 validated by pipeline
2-methylideneoxirane,"1,2-Epoxy-2-Propene",,40079-14-9,C3H4O,C=C1CO1,16.5,8.6,6.7,,56.06,,,Epoxides,,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Epoxides | [CAS] CAS 40079-14-9 validated by pipeline
"ethane-1,2-dithiol","1,2-Ethane Dithiol",,540-63-6,C2H6S2,,17.9,7.2,8.7,,94.2,146.1,,Thiols,Alkylthiols,H226; H301; H302; H310; H312; H319; H330,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from cache: Thiols | [CAS] CAS 540-63-6 validated by pipeline
"1,3-benzodioxole","1,2-Methylenedioxybenzene (G.C.)",,274-09-9,,,19,6.7,5.9,,,,,Benzodioxoles,,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzodioxoles | [CAS] CAS 274-09-9 validated by pipeline
"propa-1,2-diene","1,2-Propadiene (Allene)",,463-49-0,,,15.3,3,6.8,,,,,Acyclic allenes,,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Acyclic allenes | [CAS] CAS 463-49-0 validated by pipeline
"1,3,5-trioxane","1,3,5-Trioxane",,110-88-3,C3H6O3,C1OCOCO1,18.7,9.2,8.6,,90.08,,,Trioxanes,,H228; H335; H361; H370; H372; H336; H360; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Trioxanes | [CAS] CAS 110-88-3 validated by pipeline
"benzene-1,3-diol","1,3-Benzenediol",,108-46-3,C6H6O2,Oc1cccc(O)c1,18.6,8.1,20.3,,110.11,276.9,,Phenols,Benzenediols,H302; H315; H317; H319; H370; H400; H371; H318; H372; H313; H333; H410,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Phenols | [CAS] CAS 108-46-3 validated by pipeline
"buta-1,3-diene","1,3-Butadiene",,106-99-0,C4H6,C=CC=C,14.8,2.8,5.6,,54.09,,,Unsaturated hydrocarbons,Olefins,H220; H340; H350; H280; H361; H412; H319; H335; H336; H360; H372; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Unsaturated hydrocarbons | [CAS] CAS 106-99-0 validated by pipeline
"(1Z)-1,2-dichlorobuta-1,3-diene","1,3-Butadiene-1,2-Di-Chloro",,3574-40-1,C4H4Cl2,,17.0,10.7,2.8,,122.98,,,Vinyl halides,Vinyl chlorides,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from cache: Vinyl halides | [CAS] CAS 3574-40-1 validated by pipeline
"1-chlorobuta-1,3-diene","1,3-Butadiene-1-Chloro",,627-22-5,C4H5Cl,,15.6,8.5,2.0,,88.53,,,Vinyl halides,Vinyl chlorides,H225; H315; H319; H335; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from cache: Vinyl halides | [CAS] CAS 627-22-5 validated by pipeline
"butane-1,3-diol","1,3-Butanediol",,107-88-0,C4H10O2,CC(O)CCO,16.5,8.1,20.9,,90.12,,,Organooxygen compounds,Alcohols and polyols,H226,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 107-88-0 validated by pipeline
"1,3-dichloropropane","1,3-Dichloro Propane",,142-28-9,C3H6Cl2,ClCCCCl,18.0,8.2,3.0,,112.98,,,Organochlorides,,H225; H226; H317; H319; H412; H315; H336; H371,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 142-28-9 validated by pipeline
"1,3-dichlorobut-2-ene","1,3-Dichloro-2-Butene",,926-57-8,C4H6Cl2,CC(Cl)=CCCl,16.9,7.8,2.7,,124.99,127.1,,Vinyl halides,Vinyl chlorides,H226; H301; H302; H312; H315; H319; H331; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Vinyl halides | [CAS] CAS 926-57-8 validated by pipeline
"1,3-dichloro-2-fluorobenzene","1,3-Dichloro-2-Fluorobenzene",,2268-05-5,C6H3Cl2F,Fc1c(Cl)cccc1Cl,19.4,9.1,2.7,,164.99,168.6,,Benzene and substituted derivatives,Halobenzenes,H228; H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 2268-05-5 validated by pipeline
"1,3-dichloropropan-2-ol","1,3-Dichloro-2-Propanol",,96-23-1,C3H6Cl2O,OC(CCl)CCl,17.5,9.9,14.6,,128.98,175.2,,Halohydrins,Chlorohydrins,H301; H312; H350; H311; H314; H318; H330; H335; H336; H341; H370; H373; H227; H315; H319; H351; H372,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Halohydrins | [CAS] CAS 96-23-1 validated by pipeline
"1,3-dimethoxybutane","1,3-Dimethoxy Butane",,10143-66-5,C6H14O2,COCCC(C)OC,15.6,5.5,5.2,,118.17,,,Organooxygen compounds,Ethers,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 10143-66-5 validated by pipeline
"1,3-dioxolane","1,3-Dioxolane",,646-06-0,C3H6O2,C1COCO1,18.1,6.6,9.3,,74.08,74.6,,Dioxolanes,"1,3-dioxolanes",H225; H319; H360; H318; H361; H303; H316; H341,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Dioxolanes | [CAS] CAS 646-06-0 validated by pipeline
"(3E)-penta-1,3-diene","1,3-Pentadiene (Trans)",,2004-70-8,,,15,2.5,4,,,,,Unsaturated hydrocarbons,Olefins,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Unsaturated hydrocarbons | [CAS] CAS 2004-70-8 validated by pipeline
"oxathiolane 2,2-dioxide","1,3-Propane Sultone",,1120-71-4,C3H6O3S,O=[S]1(=O)CCCO1,18.4,16.0,9.0,,122.15,,,Oxathiolanes,Gamma sultones,H302; H312; H350; H301; H311; H315; H318; H319; H332; H341; H412; H370; H402; H316; H320; H335; H351; H330,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Oxathiolanes | [CAS] CAS 1120-71-4 validated by pipeline
"propane-1,3-diol","1,3-Propanediol (Trimethyleneglycol)",,504-63-2,,,16.8,13.5,23.2,,,,,Organooxygen compounds,Alcohols and polyols,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 504-63-2 validated by pipeline
4-prop-2-enoyloxybutyl prop-2-enoate,"1,4-Butandiol Diacrylate",,1070-70-8,C10H14O4,OCCCCO.OC(=O)C=C.OC(=O)C=C,16.8,9.1,4.2,,198.22,,,Carboxylic acids and derivatives,Acrylic acids and derivatives,H312; H314; H317; H302; H311; H318; H319; H332; H412; H315,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Carboxylic acids and derivatives | [CAS] CAS 1070-70-8 validated by pipeline
"butane-1,4-diol","1,4-Butanediol",,110-63-4,C4H10O2,OCCCCO,16.6,11.0,20.9,,90.12,229.7,,Organooxygen compounds,Alcohols and polyols,H302; H336,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 110-63-4 validated by pipeline
"1,4-dichlorobut-2-ene","1,4-Dichloro-2-Butene",,764-41-0,C4H6Cl2,ClCC=CCCl,17.8,7.6,2.0,,124.99,,,Organochlorides,,H301; H311; H314; H330; H350; H400; H410; H226; H318; H336; H341; H370; H372; H340; H361,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 764-41-0 validated by pipeline
"1,4-dichlorobutane","1,4-Dichlorobutane",,110-56-5,C4H8Cl2,ClCCCCCl,18.3,7.7,2.8,,127.01,,,Organochlorides,,H226; H315; H319; H335; H412,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 110-56-5 validated by pipeline
"benzene-1,4-diol","1,4-Dihydroxybenzene (1,4-Benzenediol)",,123-31-9,,,21,10.2,27.2,,,,,Phenols,Benzenediols,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Phenols | [CAS] CAS 123-31-9 validated by pipeline
"1,4-dioxane","1,4-Dioxane",dioxane,123-91-1,C4H8O2,C1COCCO1,17.1,6.8,7.8,,88.11,,,Dioxanes,"1,4-dioxanes",H225; H319; H335; H350; H351; H332; H336; H372; H315; H370; H373; H313; H331,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Dioxanes | [NAME] Acronyms: dioxane | [CAS] CAS 123-91-1 validated by pipeline
"1,4-dioxane","1,4-Dioxane (High P)",dioxane,123-91-1,,,17.1,6.8,7.8,,,,,Dioxanes,"1,4-dioxanes",,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Dioxanes | [NAME] Acronyms: dioxane | [CAS] CAS 123-91-1 validated by pipeline
"1,4-oxathiane","1,4-Thioxane",,15980-15-1,C4H8OS,C1CSCCO1,19.0,6.6,7.7,,104.17,,,Oxathianes,,H226; H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Oxathianes | [CAS] CAS 15980-15-1 validated by pipeline
"1,5-dichloropentane","1,5-Dichloropentane",,628-76-2,C5H10Cl2,ClCCCCCCl,18.0,7.8,1.5,,141.04,180.1,,Organochlorides,,H226; H301; H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 628-76-2 validated by pipeline
"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","1,8-Cineole (Eucalyptol)",,470-82-6,,,16.7,4.6,3.4,,,,,Oxanes,,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Oxanes | [CAS] CAS 470-82-6 validated by pipeline
"nonane-1,9-diol","1,9-Nonanediol",,3937-56-2,C9H20O2,OCCCCCCCCCO,15.7,7.0,15.1,,160.25,,,Fatty Acyls,Fatty alcohols,H315; H319; H335; H412,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Fatty Acyls | [CAS] CAS 3937-56-2 validated by pipeline
"[(1E)-buta-1,3-dienyl] acetate","1-Acetoxy-1,3-Butadiene",,1515-76-0,C6H8O2,CC(=O)OC=CC=C,16.1,4.4,8.3,,112.13,,,Carboxylic acids and derivatives,Carboxylic acid derivatives,H226; H302; H311; H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Carboxylic acids and derivatives | [CAS] CAS 1515-76-0 validated by pipeline
