name_iupac,name_common,name_common_all,name_acronyms,cas,dD,dP,dH,radius,class,subclass,processing_notes
,MMA/EA/MAM 45/45/10,MMA/EA/MAM 45/45/10,,,19.5,11.1,8.7,11.2,Acrylic,,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA/BVBE 40/40/20,MMA/EA/BVBE 40/40/20,,,17.8,10.0,6.6,9.8,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,ACID DEGMP,ACID DEGMP,,,15.3,13.3,14.9,15.6,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACID DEG'
,CARB DEG PTH,CARB DEG PTH,,,19.4,13.4,11.6,11.1,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,CRYPLEX 1473-5,CRYPLEX 1473-5,,,19.2,9.4,5.6,8.9,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bSINCLAIR\b|\bCRYPLEX\b|\bVYSET\b'
,DEG ISOPH,DEG ISOPH,,,19.2,17.2,14.6,11.8,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,DEG PHTH,DEG PHTH,,,21.0,15.2,13.2,13.7,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,DPG PHTH,DPG PHTH,,,20.1,11.5,6.7,11.607248,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,DOW ADIP TEREP,DOW ADIP TEREP,,,17.8,10.4,6.8,9.3,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,DOW X-2635 MALEATE,DOW X-2635 MALEATE,,,17.8,5.6,6.8,4.5,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,VITEL PE LINEAR,VITEL PE LINEAR; polyethylene; PE,,,14.9,10.1,2.9,6.1,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPBT\b|\bPET\b|\bPETP\b|\bPEI\b|ESTANE|'
,VITEL PE101-X,VITEL PE101-X; polyethylene; PE,,,21.3,6.3,4.7,7.3,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPBT\b|\bPET\b|\bPETP\b|\bPEI\b|ESTANE|'
,HYD BIS A FUM ISPH,HYD BIS A FUM ISPH,,,17.0,4.4,6.2,5.0,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,HYD BIS A PG FUM ISPH,HYD BIS A PG FUM ISPH,,,18.7,8.9,5.5,8.4,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,PENTA BENZ MAL,PENTA BENZ MAL; polyethylene; PE,,,19.4,12.2,10.2,10.8,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'PENTA.*BENZ.*MAL|HEXADECYL.*TRIM'
,SOL MYLAR 49001,SOL MYLAR 49001,,,19.0,5.0,4.0,5.0,Polyester & Alkyd,Saturated Polyester,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T'
,SOL MYLAR 49002,SOL MYLAR 49002,,,19.0,5.0,5.0,5.0,Polyester & Alkyd,Saturated Polyester,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T'
,TEG EG MAL TEREP,TEG EG MAL TEREP,,,18.8,11.4,9.2,10.2,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,TEG MALEATE,TEG MALEATE,,,18.1,13.9,12.1,9.7,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,V AREZ 123,V AREZ 123,,,17.3,10.9,11.9,10.7,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bV AREZ\b|\bVAREZ\b'
,AMOCO 18-290,AMOCO 18-290,,,19.3,3.7,7.9,7.8,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'AMOCO|TOPAS'
,BUTON 100 BUTAD-STY,BUTON 100 BUTAD-STY,,,17.0,4.0,3.0,7.3,Styrenic,SBS,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bBUTON\b'
,BUTON 300,BUTON 300,,,17.3,3.7,7.3,7.0,Styrenic,SBS,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bBUTON\b'
,KOPPERS KTPL-A,KOPPERS KTPL-A; polypropylene; PP,,,19.3,3.7,7.9,7.8,Phenolic Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'KOPPERS'
,RUBBER MOD PS,RUBBER MOD PS; polystyrene; PS,,,20.0,5.0,1.0,7.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,STY MAL ANH,STY MAL ANH,,,23.4,13.8,15.2,16.5,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,LYTRON 820,LYTRON 820,,,21.1,13.1,14.5,14.4,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'HYDROCARBON M|CONOCO H-|GILSONITE|COAL T'
,MARBON 9200,MARBON 9200,,61789-96-6,19.0,4.0,4.0,6.0,Styrenic,,CAS found via PubChem: 61789-96-6; Rule-based classification: matched pattern '\bMARBON\b'
,PARAPOL S-50,PARAPOL S-50,,,17.9,3.9,4.9,3.9,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'HYDROCARBON M|CONOCO H-|GILSONITE|COAL T'
,PARAPOL S-60,PARAPOL S-60,,,17.9,3.9,4.9,3.9,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'HYDROCARBON M|CONOCO H-|GILSONITE|COAL T'
,PICCOFLEX 120,PICCOFLEX 120,,,17.4,7.8,3.8,7.7,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
,SHELL POLYALDEHYDE EX 39,SHELL POLYALDEHYDE EX 39,,,19.6,10.0,3.6,9.4,Polyacetal / PEI / PC,Polyacetal,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYOXYMETHYLENE|POLYALDEHYDE|SHELL POLY'
,SHELL POLYALDEHYDE EX 40,SHELL POLYALDEHYDE EX 40,,,19.6,10.0,3.6,9.4,Polyacetal / PEI / PC,Polyacetal,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYOXYMETHYLENE|POLYALDEHYDE|SHELL POLY'
,SHELL X-450,SHELL X-450,,,19.3,9.5,11.1,11.1,Polyacetal / PEI / PC,Polyaldehyde,CAS not found after 2 lookups; Rule-based classification: matched pattern 'SHELL X-\d|SHELL POLYALD'
,SMA 1430A,SMA 1430A,,,18.8,11.4,16.4,14.1,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,SAN 85/15,SAN 85/15; SAN; styrene-acrylonitrile,,,19.1,9.5,3.1,8.7,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB'
,STY/BUTENOL 85/15,STY/BUTENOL 85/15,,,17.4,7.8,3.8,7.7,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,STY/CYCLOL 82/18,STY/CYCLOL 82/18,,,18.2,5.6,7.2,5.7,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,STY/2EHA/AA 81/11/8,STY/2EHA/AA 81/11/8,,,17.7,4.9,5.9,5.9,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,STY/MAA 90/10,STY/MAA 90/10,,,18.7,6.3,7.3,6.7,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,STY/MA 85/15,STY/MA 85/15,,,18.0,9.0,3.0,9.0,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,STY/HALF ESTER MA 60/40,STY/HALF ESTER MA 60/40,,,18.9,10.9,10.7,9.7,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,STY/PROP HALF E MA 57/43,STY/PROP HALF E MA 57/43,,,18.0,9.8,8.4,10.1,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,STY/VBE 85/15,STY/VBE 85/15,,,17.4,7.8,3.8,7.7,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STY/|/STY\b|STY MAL|STYRENE MALEIC|STYRE'
,Styron 44OM-27 MOD PS,Styron 44OM-27 MOD PS; polystyrene; PS,,,20.0,5.0,1.0,7.0,Styrenic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Styron 475M-27,Styron 475M-27,,,20.0,5.0,1.0,7.0,Styrenic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Styron 480-27,Styron 480-27,,,20.0,6.0,4.0,5.3,Styrenic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Acryloid K120N,Acryloid K120N,,,17.6,10.0,3.8,9.5,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,DODA 6225,DODA 6225,,,19.0,2.0,1.0,3.0,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDODA\b'
,DODA 3457,DODA 3457,,,19.0,2.0,1.0,3.0,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDODA\b'
,ELV AX 250,ELV AX 250,,,19.0,2.0,1.0,3.0,Vinyl Polymer,EVA,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bEVA\b|\bEVA \d|\bELVAX\b|ELV AX'
,ELV AX 150,ELV AX 150,,,18.7,2.3,0.7,6.0,Vinyl Polymer,EVA,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bEVA\b|\bEVA \d|\bELVAX\b|ELV AX'
,ELV AX EOD 3602-1,ELV AX EOD 3602-1,,,17.7,3.3,2.7,5.407248,Vinyl Polymer,EVA,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bEVA\b|\bEVA \d|\bELVAX\b|ELV AX'
,EXON 470 PVC,EXON 470 PVC; PVC; vinyl; vinyl plastic,,,17.4,7.8,3.8,7.7,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,EXON 471,EXON 471,,,17.9,8.7,2.5,9.0,Vinyl Polymer,PVC,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bGEON\b|\bEXON\b'
,EXON 473,EXON 473,,,17.4,7.8,3.8,7.7,Vinyl Polymer,PVC,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bGEON\b|\bEXON\b'
,GEON 121,GEON 121,,,19.5,6.7,11.1,8.0,Vinyl Polymer,PVC,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bGEON\b|\bEXON\b'
POLYCYCLOLa,POLYCYCLOLa,POLYCYCLOLa,,,19.0,9.0,15.0,12.0,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CYCLOL|POLYCYCLOL'
,PVBE,PVBE,,,16.7,3.7,8.3,8.6,Vinyl Polymer,PVE,CAS not found after 2 lookups; Rule-based classification: matched pattern 'VBE/|PVBE\b|PVEE\b|PVIBE\b|PVETHYL|PVINY'
,PVEE,PVEE,,,16.0,4.0,12.0,14.0,Vinyl Polymer,PVE,CAS not found after 2 lookups; Rule-based classification: matched pattern 'VBE/|PVBE\b|PVEE\b|PVIBE\b|PVETHYL|PVINY'
,FORMV AR 7/70E PVFORMAL,FORMV AR 7/70E PVFORMAL,,,22.2,12.6,14.2,14.0,Vinyl Polymer,PVFormal,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FORMV AR|PVFORMAL|POLYVINYL FORMAL|FORMV'
,FORMV AR 15/95E,FORMV AR 15/95E,,,22.2,12.6,14.2,14.0,Vinyl Polymer,PVFormal,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FORMV AR|PVFORMAL|POLYVINYL FORMAL|FORMV'
,PVIBE,PVIBE,,,16.0,1.0,8.0,10.0,Vinyl Polymer,PVE,CAS not found after 2 lookups; Rule-based classification: matched pattern 'VBE/|PVBE\b|PVEE\b|PVIBE\b|PVETHYL|PVINY'
,SARAN F-120 VCL2/AN,SARAN F-120 VCL2/AN,,,28.8,16.8,0.8,23.7,Vinyl Polymer,PVDC,source_uncertainty; hsp_flag_dd_high; CAS not found after 2 lookups; Rule-based classification: matched pattern 'VDC/|PVDC|VINYLIDENE CHLORIDE|SARAN'
,SARAN F-220,SARAN F-220,,,28.8,16.8,0.8,23.7,Vinyl Polymer,PVDC,source_uncertainty; hsp_flag_dd_high; CAS not found after 2 lookups; Rule-based classification: matched pattern 'VDC/|PVDC|VINYLIDENE CHLORIDE|SARAN'
,SINCLAIR 3840A,SINCLAIR 3840A,,,18.4,4.0,9.6,7.3,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bSINCLAIR\b|\bCRYPLEX\b|\bVYSET\b'
,V A/EHA/MA 63/33/4,V A/EHA/MA 63/33/4,,,17.7,6.3,7.7,5.3,Vinyl Polymer,PVAc,CAS not found after 2 lookups; Rule-based classification: matched pattern 'V A/|VA/|/V A|VINYL ACETATE/|POLY.VINYL '
,V A/EHA/CYC/MAA/76/12/8/4,V A/EHA/CYC/MAA/76/12/8/4,,,21.2,12.4,13.0,12.6,Vinyl Polymer,PVAc,CAS not found after 2 lookups; Rule-based classification: matched pattern 'V A/|VA/|/V A|VINYL ACETATE/|POLY.VINYL '
,V A/EA/CY 70/20/10,V A/EA/CY 70/20/10,,,20.0,12.0,11.0,15.0,Vinyl Polymer,PVAc,CAS not found after 2 lookups; Rule-based classification: matched pattern 'V A/|VA/|/V A|VINYL ACETATE/|POLY.VINYL '
,VBE/AN/MAA 46/27/27,VBE/AN/MAA 46/27/27,,,18.9,11.7,11.1,9.6,Vinyl Polymer,PVE,CAS not found after 2 lookups; Rule-based classification: matched pattern 'VBE/|PVBE\b|PVEE\b|PVIBE\b|PVETHYL|PVINY'
,VBE/MA/MAC46/27/27,VBE/MA/MAC46/27/27,,,19.4,13.0,13.8,12.3,Vinyl Polymer,PVE,CAS not found after 2 lookups; Rule-based classification: matched pattern 'VBE/|PVBE\b|PVEE\b|PVIBE\b|PVETHYL|PVINY'
,VDC/AA 75/25,VDC/AA 75/25,,,20.4,11.0,0.8,11.7,Vinyl Polymer,PVDC,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern 'VDC/|PVDC|VINYLIDENE CHLORIDE|SARAN'
,VINYLITE AYAA PV AC,VINYLITE AYAA PV AC,,,22.9,18.3,7.7,20.4,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VAGH,VINYLITE VAGH,,,17.0,7.8,6.8,7.1,Vinyl Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VMCH,VINYLITE VMCH,,,18.3,9.7,7.7,8.5,Vinyl Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VXCC,VINYLITE VXCC,,,18.0,9.4,4.6,8.4,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VYHH,VINYLITE VYHH,,,19.0,11.0,5.0,10.0,Vinyl Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VYLF,VINYLITE VYLF,,,18.0,9.4,4.6,8.4,Vinyl Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE XYHL PVBUTYRAL,VINYLITE XYHL PVBUTYRAL,,,19.0,9.0,15.0,12.0,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE XYSG PVBUTYRAL,VINYLITE XYSG PVBUTYRAL,,,19.0,9.0,15.0,12.0,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VYSET 69,VYSET 69,,,17.9,3.5,7.5,5.9,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bSINCLAIR\b|\bCRYPLEX\b|\bVYSET\b'
,ACRYLAMIDE MONOMER,ACRYLAMIDE MONOMER,,79-06-1,16.9,18.1,19.9,17.0,Biological & Other,Monomer,CAS found via PubChem: 79-06-1; Rule-based classification: matched pattern 'MONOMER\b'
,BAKELITE SULFONE P-47,BAKELITE SULFONE P-47,,,20.0,3.0,6.0,3.0,Phenolic Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'PHENOL.FORMALDEHYDE|PHENOLIC|NOVOLAC|RES'
,BECKOLIN 27 MODIF OIL,BECKOLIN 27 MODIF OIL,,,11.4,0.0,3.0,18.1,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,PEO 4000  SAMPLES HEA TED,PEO 4000  SAMPLES HEA TED; polyethylene; PE,,,22.2,11.2,13.2,17.1,Polyolefin,,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPE\b(?!\s*\d)|POLYETHYLENEOXIDE|PEO\b|'
,CHLORINATED RUBBER,CHLORINATED RUBBER,,,18.0,6.0,5.0,7.0,Elastomer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,CONOCO H-35 HYDROCARBON M,CONOCO H-35 HYDROCARBON M,,,11.4,0.0,3.0,18.1,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'HYDROCARBON M|CONOCO H-|GILSONITE|COAL T'
,DAMMAR GUM DEWAXED,DAMMAR GUM DEWAXED,,,19.0,2.0,9.0,9.0,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
,EPOCRYL E-11,EPOCRYL E-11,,,17.3,12.9,12.1,8.5,Acrylic,Epoxy Acrylate,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bEPOCRYL\b'
,ESTANE X-7  DIO XANE ONLY,ESTANE X-7  DIO XANE ONLY,,,19.0,1.8,7.4,1.0,Polyester & Alkyd,,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPBT\b|\bPET\b|\bPETP\b|\bPEI\b|ESTANE|'
,HEXADECYL MONOESTER TRIME,HEXADECYL MONOESTER TRIME,,,19.0,11.6,14.0,11.9,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'PENTA.*BENZ.*MAL|HEXADECYL.*TRIM'
,HYDR SPERM OIL WX135,HYDR SPERM OIL WX135; polyethylene; PE,,,20.0,4.0,2.0,5.0,Natural & Petroleum Resin,Drying Oil,CAS not found after 2 lookups; Rule-based classification: matched pattern 'SPERM OIL|DRYING OIL|LINSEED|TUNG OIL|SO'
,HYPALON 20 CHL SULF PE,HYPALON 20 CHL SULF PE; polyethylene; PE,,,17.8,3.2,4.4,4.1,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,HYPALON 30,HYPALON 30,,,17.8,3.4,3.2,5.1,Elastomer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,KETONE RESIN S588,KETONE RESIN S588,,,18.0,10.8,13.2,12.2,Natural & Petroleum Resin,Ketone Resin,CAS not found after 2 lookups; Rule-based classification: matched pattern 'KETONE RESIN'
,SANTOLITE MHP ARYLSULFONA,SANTOLITE MHP ARYLSULFONA; SAN; styrene-acrylonitrile,,,18.4,12.0,8.4,10.6,Amino Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FORMALDEH|SULFONAMIDE.*FORMALD|pTOLSULFO'
,pTOLSULFONAMIDE-FORMALDEH,pTOLSULFONAMIDE-FORMALDEH,,,24.6,18.6,16.4,20.907248,Amino Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FORMALDEH|SULFONAMIDE.*FORMALD|pTOLSULFO'
,VYHH-NIF REPT,VYHH-NIF REPT,,,17.4,9.9,6.7,7.5,Vinyl Polymer,PVC Copolymer,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bVYHH\b'
,PVF,PVF; DMF ONLY GOOD SOLVENT,,,17.4,13.7,11.3,2.0,Fluoropolymer,,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPVF\b|POLY.VINYL FLUORIDE'
,PES SOL,PES SOL; polyethylene; PE,,,19.6,10.8,9.2,6.2,Polysulfone / PES / PPS,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPSU\b|\bPES\b\s*(SOL|L\s)'
,LARD 37C,LARD 37C,,,15.9,1.16,5.41,12.03,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
,LARD 23C,LARD 23C,,,17.69,2.66,4.36,7.98,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
,1%IN WATER -AMINES,1%IN WATER -AMINES,,,15.07,20.44,16.5,18.12,Biological & Other,Aqueous,CAS not found after 2 lookups; Rule-based classification: matched pattern 'IN WATER|WATER\s*\+'
,1%IN WATER +AMINES,1%IN WATER +AMINES,,,14.96,18.33,15.15,16.22,Biological & Other,Aqueous,CAS not found after 2 lookups; Rule-based classification: matched pattern 'IN WATER|WATER\s*\+'
,BLOOD SERUM,BLOOD SERUM,,,23.2,22.73,30.6,20.48,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
,SUCROSE,SUCROSE,,,21.67,26.26,29.62,20.44,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
,UREA,UREA,,,20.9,18.7,26.4,19.42,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
,PSORIASIS SCALES,PSORIASIS SCALES; polystyrene; PS,,,24.64,11.94,12.92,19.04,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
,LIGNIN,LIGNIN,,9005-53-2,20.61,13.88,15.25,11.83,Natural & Petroleum Resin,,near_duplicate; CAS found via PubChem: 9005-53-2; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
,CHOLESTEROL,CHOLESTEROL,,,20.4,2.8,9.4,12.6,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
,CHLOROPHYLL,CHLOROPHYLL,,,20.2,15.6,18.2,11.1,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
,CELLULOSE-PAPER STRENGTH,CELLULOSE-PAPER STRENGTH; polyethylene; PE,,,25.4,18.6,24.8,21.7,Cellulosic Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
,PSU ULTRASON S,PSU ULTRASON S; polystyrene; PS,,,19.7,8.3,8.3,8.0,Polysulfone / PES / PPS,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYSULFONE|^R\s+.*PSU|\bR POLYSU'
,BAREX 210 CR,BAREX 210 CR,,,20.1,9.1,12.7,10.9,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bBAREX\b'
,BAREX 210 CR-STYRENE,BAREX 210 CR-STYRENE,,,17.7,8.9,10.9,6.4,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB'
,Paraloid B72,Paraloid B72,,,17.6,7.4,5.6,9.4,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,ESTIMATE DRIED OIL,ESTIMATE DRIED OIL,,,16.0,6.0,7.0,5.0,Natural & Petroleum Resin,Drying Oil,CAS not found after 2 lookups; Rule-based classification: matched pattern 'SPERM OIL|DRYING OIL|LINSEED|TUNG OIL|SO'
,DAMMAR DEWAXED,DAMMAR DEWAXED,,,19.0,2.0,9.0,9.0,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
,LDPE PERM>80,LDPE PERM>80; LDPE; low-density polyethylene,,,16.5,4.5,0.5,6.0,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYETHYLENE|\bHDPE\b|\bLDPE\b|\bLLDPE\b'
,LDPE PERM<,LDPE PERM<; LDPE; low-density polyethylene,,,0.8,15.3,5.3,2.5,Polyolefin,,hsp_flag_dd_low; CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYETHYLENE|\bHDPE\b|\bLDPE\b|\bLLDPE\b'
,TOLONATE HDT,TOLONATE HDT; RH-POULENC,,,19.0,11.0,3.0,12.0,Polyurethane,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPUR\b|\bPU\b(?!\S)|TOLONATE|ISOCYANATE'
,TOLONATE HDB,TOLONATE HDB; RH-POULENC,,,19.0,11.0,2.0,11.3,Polyurethane,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPUR\b|\bPU\b(?!\S)|TOLONATE|ISOCYANATE'
,R ACM,R ACM,,,16.8,11.8,11.6,17.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*BUTYL|^R\s+.*\bCSM\b|^R\s+.*\bACM'
