name_iupac,name_common,name_common_all,name_acronyms,cas,dD,dP,dH,radius,class,subclass,processing_notes
,CELLOLYN 102,CELLOLYN 102,,,21.73,0.94,8.53,15.75,Cellulosic Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
,Pentalyn 255,Pentalyn 255; polyethylene; PE,,,17.55,9.37,14.32,10.64,Natural & Petroleum Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Pentalyn 830,Pentalyn 830; polyethylene; PE,,,20.03,5.81,10.93,11.66,Natural & Petroleum Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,ESTER GUM BL,ESTER GUM BL,,,19.64,4.73,7.77,10.64,Cellulosic Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
,Versamid 961,Versamid 961,,,18.9,9.6,11.1,6.2,Polyamide,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Versamid 965,Versamid 965,,,20.15,6.04,12.9,9.207248,Polyamide,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmodur L,Desmodur L,PU,,17.5,11.3,5.9,8.5,Polyurethane,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmodur N,Desmodur N,PU,28574-90-5,17.6,10.0,3.7,9.3,Polyurethane,,CAS found via PubChem: 28574-90-5; Class from Step 0 brand prefix mapping
,SUPRASEC F-5100,SUPRASEC F-5100,,,19.7,12.9,12.8,11.4,Polyurethane,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYURETHANE|URETHANE|\bTPU\b|DESMOPHEN|'
,Mowital B 30 H,Mowital B 30 H,,,18.6,12.9,10.3,8.3,Vinyl Polymer,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Mowital B 60 H,Mowital B 60 H,,,20.2,11.2,13.3,11.2,Vinyl Polymer,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,BUTV AR B 76,BUTV AR B 76,,,18.6,4.36,13.03,10.64,Vinyl Polymer,PVB,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bBUTV AR\b'
,LUCITE 2042 PEMA,LUCITE 2042 PEMA; polyethylene; PE,,,17.6,9.66,3.97,10.64,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,LUCITE 2044 PMMA,LUCITE 2044 PMMA; acrylic glass; acrylic; plexiglass; perspex,,,16.2,6.8,5.7,9.1,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,PLEXIGUM MB319,PLEXIGUM MB319,,,18.6,10.8,4.1,11.5,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,PLEXIGUM M527,PLEXIGUM M527,,,18.4,9.4,6.5,10.7,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
Poly(methyl methacrylate),acrylic glass,acrylic glass; acrylic; plexiglass,PMMA,,18.64,10.52,7.51,8.59,Acrylic,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,MOWILITH 50 PVAC,MOWILITH 50 PVAC,,,20.93,11.27,9.66,13.71,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
POLYSTYRENE LG,POLYSTYRENE LG,POLYSTYRENE LG,,,22.28,5.75,4.3,12.68,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB'
,LAROFLEX MP 45,LAROFLEX MP 45,,,18.4,8.4,5.8,9.0,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,VILIT MB 30,VILIT MB 30,,,20.0,8.3,6.7,9.4,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VILIT MC 31,VILIT MC 31,,,20.0,8.3,6.7,9.4,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VILIT MC 39,VILIT MC 39,,,18.4,7.6,6.7,6.8,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VAGD,VINYLITE VAGD,,,17.1,10.4,6.5,7.5,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VAGH,VINYLITE VAGH,,,16.5,10.9,6.4,7.7,Vinyl Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VMCA,VINYLITE VMCA,,,17.7,11.1,6.9,8.7,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VMCC,VINYLITE VMCC,,,17.6,11.1,6.8,8.8,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VMCH,VINYLITE VMCH,,,17.6,11.1,6.4,8.6,Vinyl Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VYHH,VINYLITE VYHH,,,17.4,10.2,5.9,7.8,Vinyl Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,VINYLITE VYLF,VINYLITE VYLF,,,18.1,10.3,4.2,8.3,Vinyl Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,Alftalat AC 366,Alftalat AC 366,,,18.6,10.0,5.0,10.4,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Alftalat AM 756,Alftalat AM 756,,,23.0,2.2,4.2,16.9,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Alftalat AN 896,Alftalat AN 896,,,22.9,15.2,7.6,18.1,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Alftalat AN 950,Alftalat AN 950,,,22.6,13.8,8.1,17.1,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Alftalat AT 316,Alftalat AT 316,,,20.5,9.3,9.1,12.4,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Alftalat AT 576,Alftalat AT 576,,,19.2,5.3,6.3,11.9,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Alkydal F 261 HS,Alkydal F 261 HS,,,23.6,1.0,7.6,19.0,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Alkydal F 41,Alkydal F 41,,,20.6,4.6,5.5,12.6,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,DUROFTAL T 354,DUROFTAL T 354,,,17.3,4.2,7.9,9.3,Polyester & Alkyd,Alkyd,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B'
,DYNAPOL L 812,DYNAPOL L 812,,,22.6,13.1,5.8,16.807248,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,DYNAPOL L 850,DYNAPOL L 850,,,20.0,6.2,7.0,9.5,Polyester & Alkyd,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,PLEXAL C-34,PLEXAL C-34,,,18.5,9.21,4.91,10.64,Polyester & Alkyd,Alkyd,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B'
,SOALKYD 1935-EGAX,SOALKYD 1935-EGAX,,,18.0,11.6,8.5,9.0,Polyester & Alkyd,Alkyd,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B'
,VESTURIT BL 908,VESTURIT BL 908,,,18.8,12.0,6.0,11.5,Polyester & Alkyd,Alkyd,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B'
,VESTURIT BL 915,VESTURIT BL 915,,,17.7,13.0,7.6,11.5,Polyester & Alkyd,Alkyd,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B'
,BE 370,BE 370,,,20.7,6.1,12.7,14.8,Epoxy Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\bBE \d'
,Cymel 300,Cymel 300,,,19.35,12.83,12.87,9.82,Amino Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Cymel 325,Cymel 325,,,25.5,15.2,9.5,22.2,Amino Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,DYNOMIN MM 9,DYNOMIN MM 9,,,18.8,14.0,12.3,10.5,Amino Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MELAMINE|UREA.FORMALDEHYDE|AMINO RESIN|C'
,DYNOMIN UM 15,DYNOMIN UM 15,,,19.9,15.8,13.4,11.7,Amino Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MELAMINE|UREA.FORMALDEHYDE|AMINO RESIN|C'
,SOAMIN M 60,SOAMIN M 60,,,15.9,8.1,6.5,10.6,Amino Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MELAMINE|UREA.FORMALDEHYDE|AMINO RESIN|C'
,SYNRESIN A 560,SYNRESIN A 560,,,22.1,5.0,11.3,15.5,Polyester & Alkyd,Alkyd,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B'
,PLASTOPAL H,PLASTOPAL H,,,20.81,8.29,14.96,12.69,Amino Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MELAMINE|UREA.FORMALDEHYDE|AMINO RESIN|C'
,UFORMITE MX-61,UFORMITE MX-61,,,22.7,2.8,5.4,16.2,Amino Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MELAMINE|UREA.FORMALDEHYDE|AMINO RESIN|C'
,URACRON 15,URACRON 15,,,19.2,7.7,5.7,10.6,Amino Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MELAMINE|UREA.FORMALDEHYDE|AMINO RESIN|C'
,Paraloid P 400,Paraloid P 400,,,19.2,9.6,9.3,12.2,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Paraloid P 410,Paraloid P 410,,,19.6,9.1,6.8,12.2,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Paraloid EXPER. RES. QR 954,Paraloid EXPER. RES. QR 954; polyethylene; PE,,,18.4,9.8,10.0,12.4,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,BAYSILON UD 125,BAYSILON UD 125,,,19.4,9.9,10.1,6.9,Elastomer,Silicone,CAS not found after 2 lookups; Rule-based classification: matched pattern 'SILICONE|BAYSILON|SILICON RESIN|POLY.DIM'
,TEFLON,TEFLON; SL2-,,,17.1,8.1,1.3,4.7,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F'
,DOW EPOXY NOVOLAC 438,DOW EPOXY NOVOLAC 438,,,20.3,15.4,5.3,15.1,Epoxy Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'EPOXY|\bEPIKOTE\b|\bEPON\b|\bARALDITE\b|'
,DOW EPOXY NOVOLAC 444,DOW EPOXY NOVOLAC 444,,,19.5,11.6,9.3,10.0,Epoxy Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'EPOXY|\bEPIKOTE\b|\bEPON\b|\bARALDITE\b|'
