name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
Alftalat AT 316,,20.5,9.3,9.1,12.4,Polyester & Alkyd,0.850,1,hsp_polymers_2
Alftalat AT 576,,19.2,5.3,6.3,11.9,Polyester & Alkyd,0.850,1,hsp_polymers_2
Alkydal F 261 HS,,23.6,1.0,7.6,19.0,Polyester & Alkyd,0.850,1,hsp_polymers_2
Alkydal F 41,,20.6,4.6,5.5,12.6,Polyester & Alkyd,0.850,1,hsp_polymers_2
DUROFTAL T 354,,17.3,4.2,7.9,9.3,Polyester & Alkyd,0.850,1,hsp_polymers_2
DYNAPOL L 812,,22.6,13.1,5.8,16.807248,Polyester & Alkyd,0.850,1,hsp_polymers_2
DYNAPOL L 850,,20.0,6.2,7.0,9.5,Polyester & Alkyd,0.850,1,hsp_polymers_2
PLEXAL C-34,,18.5,9.21,4.91,10.64,Polyester & Alkyd,0.850,1,hsp_polymers_2
SOALKYD 1935-EGAX,,18.0,11.6,8.5,9.0,Polyester & Alkyd,0.850,1,hsp_polymers_2
VESTURIT BL 908,,18.8,12.0,6.0,11.5,Polyester & Alkyd,0.850,1,hsp_polymers_2
VESTURIT BL 915,,17.7,13.0,7.6,11.5,Polyester & Alkyd,0.850,1,hsp_polymers_2
BE 370,,20.7,6.1,12.7,14.8,Epoxy Resin,0.850,1,hsp_polymers_2
Cymel 300,,19.35,12.83,12.87,9.82,Amino Resin,0.850,1,hsp_polymers_2
Cymel 325,,25.5,15.2,9.5,22.2,Amino Resin,0.850,1,hsp_polymers_2
DYNOMIN MM 9,,18.8,14.0,12.3,10.5,Amino Resin,0.850,1,hsp_polymers_2
DYNOMIN UM 15,,19.9,15.8,13.4,11.7,Amino Resin,0.850,1,hsp_polymers_2
SOAMIN M 60,,15.9,8.1,6.5,10.6,Amino Resin,0.850,1,hsp_polymers_2
SYNRESIN A 560,,22.1,5.0,11.3,15.5,Polyester & Alkyd,0.850,1,hsp_polymers_2
PLASTOPAL H,,20.81,8.29,14.96,12.69,Amino Resin,0.850,1,hsp_polymers_2
UFORMITE MX-61,,22.7,2.8,5.4,16.2,Amino Resin,0.850,1,hsp_polymers_2
URACRON 15,,19.2,7.7,5.7,10.6,Amino Resin,0.850,1,hsp_polymers_2
Paraloid P 400,,19.2,9.6,9.3,12.2,Acrylic,0.850,1,hsp_polymers_2
Paraloid P 410,,19.6,9.1,6.8,12.2,Acrylic,0.850,1,hsp_polymers_2
Paraloid EXPER. RES. QR 954,,18.4,9.8,10.0,12.4,Acrylic,0.850,1,hsp_polymers_2
BAYSILON UD 125,,19.4,9.9,10.1,6.9,Elastomer,0.850,1,hsp_polymers_2
TEFLON,,17.1,8.1,1.3,4.7,Fluoropolymer,0.850,1,hsp_polymers_2
DOW EPOXY NOVOLAC 438,,20.3,15.4,5.3,15.1,Epoxy Resin,0.850,1,hsp_polymers_2
DOW EPOXY NOVOLAC 444,,19.5,11.6,9.3,10.0,Epoxy Resin,0.850,1,hsp_polymers_2
ZINK SILICATE - CHEMICAL RES.,,23.5,17.5,16.8,15.6,Biological & Other,0.850,1,hsp_polymers_2
2-COMP EPOXY CHEMICAL RES.,,18.4,9.4,10.1,7.0,Epoxy Resin,0.850,1,hsp_polymers_2
POLYVINYLIDINE FLUORIDE SOL.,,17.0,12.1,10.2,4.1,Vinyl Polymer,0.850,1,hsp_polymers_2
COAL TAR PITCH SOL.,,18.7,7.5,8.9,5.8,Natural & Petroleum Resin,0.850,1,hsp_polymers_2
NITRILE 20 MIN,,17.5,7.3,6.5,5.1,Elastomer,0.850,1,hsp_polymers_2
NITRILE 1 HR,,16.6,9.1,4.4,10.0,Elastomer,0.850,1,hsp_polymers_2
NITRILE 4 HR,,19.0,12.6,3.8,13.3,Elastomer,0.850,1,hsp_polymers_2
BUTYL 20 MIN,,16.5,1.0,5.1,5.0,Elastomer,0.850,1,hsp_polymers_2
BUTYL 4 HR (2),,17.6,2.1,2.1,7.0,Elastomer,0.850,1,hsp_polymers_2
NATURAL RUBBER 20 MIN,,14.5,7.3,4.5,11.0,Elastomer,0.850,1,hsp_polymers_2
NATURAL RUBBER 1 HR,,15.6,3.4,9.1,14.0,Elastomer,0.850,1,hsp_polymers_2
NATURAL RUBBER 4 HR,,19.4,13.2,7.7,19.0,Elastomer,0.850,1,hsp_polymers_2
PVC 20 MIN,,16.1,7.1,5.9,9.3,Vinyl Polymer,0.850,1,hsp_polymers_2
PVC 1 HR,,14.9,11.1,3.8,13.2,Vinyl Polymer,0.850,1,hsp_polymers_2
PVC 4 HR,,24.4,4.9,9.9,22.707248,Vinyl Polymer,0.850,1,hsp_polymers_2
POLYVINYLALCOHOL 20 MIN,,11.2,12.4,13.0,12.1,Vinyl Polymer,0.850,1,hsp_polymers_2
POLYVINYLALCOHOL 1 HR,,15.3,13.2,13.5,8.8,Vinyl Polymer,0.850,1,hsp_polymers_2
POLYVINYLALCOHOL 4 HR,,17.2,13.6,15.4,10.9,Vinyl Polymer,0.850,1,hsp_polymers_2
POLYETHYLENE 20 MIN,,16.9,3.3,4.1,8.1,Polyolefin,0.850,1,hsp_polymers_2
POLYETHYLENE 1 HR,,17.1,3.1,5.2,8.2,Polyolefin,0.850,1,hsp_polymers_2
POLYETHYLENE 4 HR,,24.1,14.9,0.3,24.3,Polyolefin,0.850,1,hsp_polymers_2
VITON 20 MIN,,10.9,14.5,3.1,14.1,Fluoropolymer,0.850,1,hsp_polymers_2
VITON 1 HR,,16.5,8.1,8.3,6.6,Fluoropolymer,0.850,1,hsp_polymers_2
VITON 4 HR,,13.6,15.4,8.6,14.4,Fluoropolymer,0.850,1,hsp_polymers_2
NEOPRENE 20 MIN,,17.6,2.5,5.9,6.2,Elastomer,0.850,1,hsp_polymers_2
NEOPRENE 1 HR,,19.0,8.0,0.0,13.2,Elastomer,0.850,1,hsp_polymers_2
NEOPRENE 4 HR,,14.6,13.9,2.3,15.9,Elastomer,0.850,1,hsp_polymers_2
CH 5100 3 HR,,16.6,5.4,4.0,3.8,Elastomer,0.850,1,hsp_polymers_2
CH 5200 3 HR,,16.6,6.0,4.8,3.7,Elastomer,0.850,1,hsp_polymers_2
PVDC (110C) SOLUBILITY,,17.6,9.1,7.8,3.9,Vinyl Polymer,0.850,1,hsp_polymers_2
PVDC (130C) SOLUBILITY,,20.4,10.0,10.2,7.6,Vinyl Polymer,0.850,1,hsp_polymers_2
PES L C=1,,18.7,10.5,7.6,9.1,Polysulfone / PES / PPS,0.850,1,hsp_polymers_2
PES L B + C =1,,17.7,9.7,6.4,9.3,Polysulfone / PES / PPS,0.850,1,hsp_polymers_2
PPS CR 93°C,,18.8,4.8,6.8,2.8,Polysulfone / PES / PPS,0.850,1,hsp_polymers_2
PPS TS60%12MO,,18.7,5.3,3.7,6.7,Polysulfone / PES / PPS,0.850,1,hsp_polymers_2
PA6 CR,,17.0,3.4,10.6,5.1,Polyamide,0.850,1,hsp_polymers_2
PA66 SOL,,17.4,9.8,14.6,5.1,Polyamide,0.850,1,hsp_polymers_2
PA11 CR,,17.0,4.4,10.6,5.1,Polyamide,0.850,1,hsp_polymers_2
POMH+POMC CR,,17.1,3.1,10.7,5.2,Polyolefin,0.850,1,hsp_polymers_2
PETP CR,,18.2,6.4,6.6,5.0,Polyester & Alkyd,0.850,1,hsp_polymers_2
PTFE L80 CR,,16.2,1.8,3.4,3.9,Fluoropolymer,0.850,1,hsp_polymers_2
PMMA CR,,16.0,5.0,12.0,13.0,Acrylic,0.850,1,hsp_polymers_2
PE CR QUESTIONABLE V ALUES,,16.8,5.4,2.4,4.7,Polyolefin,0.850,1,hsp_polymers_2
PPO CR,,17.9,3.1,8.5,8.6,Polyacetal / PEI / PC,0.850,1,hsp_polymers_2
PUR CR,,18.1,9.3,4.5,9.7,Polyurethane,0.850,1,hsp_polymers_2
ABS CR,,16.3,2.7,7.1,7.8,Styrenic,0.850,1,hsp_polymers_2
PSU CR,,16.0,6.0,6.6,9.0,Polysulfone / PES / PPS,0.850,1,hsp_polymers_2
