Solvent,InChIKey,Volume_cm3_per_mol,delta_d_MPa0.5,delta_p_MPa0.5,delta_h_MPa0.5,delta_t_MPa0.5
Dichlorofluoromethane,UMNKXPULIDJLSU-UHFFFAOYSA-N,75.4,15.8,3.1,5.7,17.0
Dichlorofluoromethane,UMNKXPULIDJLSU-UHFFFAOYSA-N,92.3,12.3,2.0,0.0,12.5
Dichloromethane,YMWUJEATGCHHMB-UHFFFAOYSA-N,63.9,18.2,6.3,6.1,20.3
Diethylamine,HPNMFZURTQLUMO-UHFFFAOYSA-N,103.2,14.9,2.3,6.1,16.4
DiethylCarbonate,OIFBSDVPJOWBCH-UHFFFAOYSA-N,121.0,16.6,3.1,6.1,18.0
DiethyleneGlycolButylEther,OAYXUHPQHDHDDZ-UHFFFAOYSA-N,170.6,16.0,7.0,10.6,20.5
DiethyleneGlycolDimethylEther,SBZXBUIDTXKZTM-UHFFFAOYSA-N,142.0,15.8,6.1,9.2,19.2
DiethyleneGlycolMethylEther,SBASXUCJHJRPEV-UHFFFAOYSA-N,118.0,16.2,7.8,12.7,21.9
DiethyleneGlycolMonoethylEther,XXJWXESWEXIICW-UHFFFAOYSA-N,130.9,16.2,9.2,12.3,22.3
Diethylenetriamine,RPNUMPOLZDHAAY-UHFFFAOYSA-N,108.0,16.8,13.3,14.3,25.8
DiethylEther,RTZKZFJDLAIYFH-UHFFFAOYSA-N,104.8,14.5,2.9,5.1,15.8
DiethylPhthalate,FLKPEMZONWLCSK-UHFFFAOYSA-N,198.0,17.6,9.6,4.5,20.5
DiethylSulfate,DENRZWYUOJLTMF-UHFFFAOYSA-N,131.5,15.8,14.7,7.2,22.7
DiethylSulfide,LJSQFQKUNVCTIA-UHFFFAOYSA-N,108.2,17.0,3.1,2.0,17.4
DiisopropylEther,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,141.8,15.1,3.2,3.2,15.763565586503582
DimethylPhthalate,NIQCNGHVCWTJSM-UHFFFAOYSA-N,163.0,18.6,10.8,4.9,22.1
DimethylSulfone,HHVIBTZHLRERCL-UHFFFAOYSA-N,75.0,19.0,19.4,12.3,29.9
DimethylSulfoxide,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,71.3,18.4,16.4,10.2,26.6
DiNOctylPhthalate,MQIUGAXCHLFZKX-UHFFFAOYSA-N,277.0,16.6,7.0,3.1,18.2
Dipropylamine,WEHWNAOGRSTTBQ-UHFFFAOYSA-N,136.9,15.3,1.4,4.1,16.0
DipropyleneGlycol,AZUXKVXMJOIAOF-UHFFFAOYSA-N,131.8,16.5,10.6,17.7,26.417797031546744
DiPropyleneGlycolButylEther,CUVLMZNMSPJDON-UHFFFAOYSA-N,211.2,15.7,6.5,10.0,19.716490559934847
DLLimonene,XMGQYMWWDOXHJM-UHFFFAOYSA-N,162.9,17.2,1.8,4.3,17.820493820318223
DowanolDpm,CUDYYMUUJHLCGZ-UHFFFAOYSA-N,156.1,15.5,5.7,11.2,19.954448125668623
Epichlorohydrin,BRLQWZUYTZBJKN-UHFFFAOYSA-N,79.9,19.0,10.2,3.7,21.9
Ethanethiol,DNJIEGIFACGWOD-UHFFFAOYSA-N,74.3,15.8,6.5,7.2,18.4
Ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,58.6,15.8,8.8,19.4,26.522443326360413
Ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,58.5,15.8,8.8,19.4,26.6
Ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,60.2,17.2,15.5,21.3,31.5
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,98.5,15.8,5.3,7.2,18.2
Ethylbenzene,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,123.1,17.8,0.6,1.4,17.8
EthylChloroformate,RIFGWPKJUGCATF-UHFFFAOYSA-N,95.6,15.5,10.0,6.8,19.6
EthylCinnamate,KBEBGUQPQBELIU-CMDGGOBGSA-N,166.8,18.4,8.2,4.1,20.5
EthyleneCarbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,66.0,19.4,21.7,5.1,29.5
Ethylenediamine,PIICEJLVQHRZGT-UHFFFAOYSA-N,67.3,16.6,8.8,17.0,25.4
EthyleneGlycol,LYCAIKOWRPUZTN-UHFFFAOYSA-N,55.9,17.0,11.0,26.0,32.95451410656816
