name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
"2,3-Dibromoprene",34994-48-4,,C4H4Br2,17.7,11.8,6.4,211.88,,,,halogenated,,0.808,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/21863425,
"2,3-Dichloro-1,3-Butadiene",1653-19-6,ClC(=C)C(Cl)=C,C4H4Cl2,17.1,2.3,2.8,122.98,98.1,,,halogenated,H302; H315; H319; H335; H411,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/15447,
"2,3-Dichloronitrobenzene",3209-22-1,[O-][N+](=O)c1cccc(Cl)c1Cl,C6H3Cl2NO2,19.7,12.6,4.4,192.0,257.6,,,aromatic,H301; H302; H373; H411; H401; H315; H370,0.970,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/18555,
"2,3-Dichloropropanol",616-23-9,OCC(Cl)CCl,C3H6Cl2O,17.5,9.2,14.6,128.98,182.9,,,alcohol,H301; H310; H315; H318; H319; H332; H227; H371; H373,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/12018,
"2,3-Dichloropropene",78-88-6,ClCC(Cl)=C,C3H4Cl2,16.2,7.8,3.0,110.97,94.1,,,halogenated,H225; H302; H312; H315; H318; H332; H335; H341; H412; H319; H336,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/6565,
"2,4,5-Trichlorothiophenol",3773-14-6,Sc1cc(Cl)c(Cl)cc1Cl,C6H3Cl3S,21.0,4.5,9.1,213.5,,,,alcohol,H315; H318; H319; H335; H413,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/19597,
"2,4,6-Tribromo Phenol",118-79-6,Oc1c(Br)cc(Br)cc1Br,C6H3Br3O,20.6,10.2,14.1,330.8,,,,alcohol,H317; H319; H400; H410; H302; H361; H371; H373,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/1483,
"2,4,6-Trichloroanisol",87-40-1,COc1c(Cl)cc(Cl)cc1Cl,C7H5Cl3O,21.0,3.9,7.0,211.5,,,,halogenated,H302; H319; H413,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/6884,
"2,4,6-Trichlorophenol",88-06-2,Oc1c(Cl)cc(Cl)cc1Cl,C6H3Cl3O,20.3,5.1,10.8,197.4,246.1,,,alcohol,H302; H315; H319; H351; H400; H410; H335; H361; H370; H372; H411,0.988,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/6914,
"2,4-Dichloro-3-Fluoronitrobenzene",393-79-3,[O-][N+](=O)c1ccc(Cl)c(F)c1Cl,C6H2Cl2FNO2,19.9,7.2,4.2,209.99,,,,aromatic,H302; H312; H332,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/223081,
