name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source,source_url,product_url,tds_url,sds_url,dataset_id
AMOCO 18-290,,19.3,3.7,7.9,7.8,Styrene Polymers And Copolymers - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
ARALDITE DY O25,,14.0,7.4,9.4,13.7,Epoxy,0.3,1,hansen_a2,,https://products.huntsman.com/products/araldite-dy-025,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
Au Ester Pu,,17.9,13.3,10.7,17.1,Polyurethane,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
BAKELITE SULFONE P-47,,20.0,3.0,6.0,3.0,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
BAREX 210 CR,,20.1,9.1,12.7,10.9,Barex,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
BAREX 210 CR-STYRENE,,17.7,8.9,10.9,6.4,Barex,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
BAYSILON UD 125,,19.4,9.9,10.1,6.9,Silicone Resins,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
BE 370,,20.7,6.1,12.7,14.8,Amino Resins,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
BECKOLIN 27 MODIF OIL,,11.4,0.0,3.0,18.1,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
BEETLE 681,,22.2,-0.4,10.1,18.4,Amino Resins,0.3,1,hansen_a2,,,,,hansen_a2
benzoxazine resin,,20.7,6.1,12.7,14.8,Phenolic Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
BETHOXAZIN,163269-30-5,22.4,7.6,10.8,13.9,Miscellaneous,0.45,1,hansen_a2,,https://pubchem.ncbi.nlm.nih.gov/compound/12040175,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
blocked melamine,,18.8,12.0,6.0,11.5,Amino Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
BLOOD SERUM,,23.2,22.73,30.6,20.48,Biologically Interesting Systems,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
BMA/AN 80/20,,17.5,9.9,4.1,9.5,Acrylics - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
bromobutyl rubber,,17.6,1.7,2.0,6.0,Elastomer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
BROMOBUTYL RUBBER L,,17.0,3.4,2.0,6.0,Bromobutyl Rubber Swelling,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
BROMOBUTYL RUBBER S,,17.6,1.7,2.0,6.0,Bromobutyl Rubber Swelling,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
BUNA HULS B10,,17.53,2.25,3.42,6.55,Polybutadiene,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
BUNA N B UTADIENE/ACRYLONITRILE,,17.8,3.2,3.4,3.7,Based on Solvent Range Solubility Data - Not too Reliable,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
BUTON 100 B UTAD-STY,,17.0,4.0,3.0,7.3,Styrene Polymers And Copolymers - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
BUTON 300,,17.3,3.7,7.3,7.0,Styrene Polymers And Copolymers - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
BUTVAR B 76,,18.6,4.36,13.03,10.64,Polyvinylbutyral,0.3,1,hansen_a2,,https://www.eastman.com/en/products/product-detail/71095419/butvar-b-76,https://productcatalog.eastman.com/tds/ProdDatasheet.aspx?product=71095419,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
Butyl,2492-36-6,16.5,1.0,5.1,5.0,Elastomer,0.4,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
BUTYL 1 HR,,15.8,-2.1,4.0,8.2,Practical Film Thickness,0.3,1,hansen_a2,,,,,hansen_a2
BUTYL 20 MIN,,16.5,1.0,5.1,5.0,Practical Film Thickness,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
BUTYL 4 HR (2),,17.6,2.1,2.1,7.0,Practical Film Thickness,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
CARB DEG PTH,,19.4,13.4,11.6,11.1,Polyesters - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
CARBON-60,,19.7,2.9,2.7,3.9,Miscellaneous,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
CARIFLEX IR 305,,16.57,1.41,-0.82,9.62,Polyisoprene,0.3,1,hansen_a2,,,,,hansen_a2
CELL. ACET. BUTYRATE,,17.2,13.8,2.8,12.6,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
CELL. ACET. PROPIONATE,,9.8,13.6,11.4,15.2,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
CELLIDORA A,,18.2,12.4,10.8,7.4,Cellulose Acetate,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
CELLIT BP-300,,16.6,12.0,6.7,10.2,Cellulose Acetobutyrate,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
CELLOLYN 102,,21.73,0.94,8.53,15.75,Rosin Derivatives,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
