name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
"2,6-Dimethoxy Phenol",91-10-1,,,19.3,7.6,13.7,,,,,alcohol,,0.4,1,hspip_solvents,,
"2,6-Dimethyl Phenol",576-26-1,,,19.1,4.9,12.9,,,,116.3,alcohol,,0.55,2,hansen_a1,,
2-(Diethylamino) Ethanol,100-37-8,,,14.9,5.8,12.0,,,,133.2,alcohol,,0.55,2,hansen_a1,,
2-Acetyl Thiophene,88-15-3,,,19.1,12.2,9.3,,,,108.0,heterocyclic,,0.55,2,hansen_a1,,
2-Amino Pyridine,504-29-0,,,20.4,8.1,12.2,,,,,amine,,0.4,1,hspip_solvents,,
2-Aminoethanol (ethanolamine),141-43-5,,C2H7NO,17.0,15.5,21.2,61.08,,,59.8,alcohol,,0.55,2,accudyne_solvents,,
2-Bromo Allyl Alcohol,598-19-6,,,17.1,9.9,16.2,,,,84.5,alcohol,,0.55,2,hansen_a1,,
2-Bromo Propene,557-93-7,,,16.1,6.0,4.9,,,,88.8,halogenated,,0.55,2,hansen_a1,,
2-Bromobutane,78-76-2,,,16.3,7.7,4.4,,,,109.5,halogenated,,0.55,2,hansen_a1,,
2-Bromopropane,75-26-3,,,15.5,8.3,4.7,,,,,halogenated,,0.4,1,hspip_solvents,,
2-Bromothiophene,1003-09-4,,,20.1,5.2,4.6,,,,96.8,halogenated,,0.55,2,hansen_a1,,
2-Butanol (sec-butanol),78-92-2,,C4H10O,15.8,5.7,14.5,74.12,,,92.0,alcohol,,0.7,3,accudyne_solvents,,
2-Butanone (methyl ethyl ketone),78-93-3,,C4H8O,16.0,9.0,5.1,72.11,,,90.1,ketone,,0.55,2,accudyne_solvents,,
2-Butene (cis),590-18-1,,,14.7,1.3,4.1,,,,90.3,other,,0.7,3,hansen_a1,,
2-Butenyl Methyl Ether (cis),25125-85-3,,,15.2,3.4,5.0,,,,118.8,ether,,0.7,3,hansen_a1,,
2-Butoxyethanol (ethylene glycol monobutyl ether),111-76-2,,C6H14O2,16.0,5.1,12.3,118.17,,,131.6,alcohol,,0.55,2,accudyne_solvents,,
2-Butyl Octanol,3913-02-8,,,16.1,3.6,9.3,,,,224.2,alcohol,,0.4,1,hansen_a1,,
2-Butynedinitrile,1071-98-3,,,15.2,16.2,8.0,,,,78.4,nitrile,,0.55,2,hansen_a1,,
2-Chloro Allyl Alcohol,5976-47-6,,,17.1,10.2,16.4,,,,79.6,alcohol,,0.55,2,hansen_a1,,
2-Chloro Propene (Isopropenyl Chloride),557-98-2,,,15.5,6.7,2.2,,,,84.9,halogenated,,0.55,2,hansen_a1,,
2-Chloro-2-Methyl Propane,507-20-0,,,15.6,7.6,2.0,,,,110.0,halogenated,,0.55,2,hansen_a1,,
2-Chloro-4-Methylaniline,615-65-6,,,19.7,7.4,8.9,,,,123.0,amine,,0.55,2,hansen_a1,,
2-Chloro-5-Methyl Phenol,615-74-7,,,19.0,7.7,13.1,,,,117.4,alcohol,,0.55,2,hansen_a1,,
2-Chloroacetamide,79-07-2,,,17.6,12.4,12.8,,,,,amide,,0.4,1,hspip_solvents,,
2-Chloroallylidene Diacetate,5459-90-5,,,16.7,7.3,8.8,,,,160.2,ester,,0.55,2,hansen_a1,,
2-Chlorobutane,78-86-4,,,15.8,7.6,2.0,,,,106.8,halogenated,,0.55,2,hansen_a1,,
