name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
1-Butanethiol,,,,16.3,5.3,4.5,,,,107.8,hydrocarbon,,0.8,1,hansen_a1,,
1-Butanol,,,,16.0,5.7,15.8,,,,91.5,alcohol,,0.8,1,hansen_a1,,
1-Butene,,,,13.2,1.3,3.9,,,,94.3,other,,0.8,1,hansen_a1,,
1-Butenyl Methyl Ether,,,,15.1,5.3,5.2,,,,111.9,ether,,0.8,1,hansen_a1,,
1-Chloro Methyl Acrylate,,,,15.9,7.3,8.5,,,,101.4,ester,,0.8,1,hansen_a1,,
1-Chloro Pentane,,,,16.0,6.9,1.9,,,,120.8,halogenated,,0.8,1,hansen_a1,,
1-Chloro Vinyl Ethyl Ether,,,,16.8,6.5,5.7,,,,104.5,ether,,0.8,1,hansen_a1,,
1-Chloro-1-Fluoro Ethylene,,,,16.0,6.9,4.0,,,,67.6,halogenated,,0.8,1,hansen_a1,,
1-Chloro-1-Nitroethane,,,,16.8,13.5,4.7,,,,85.1,nitro,,0.8,1,hansen_a1,,
1-Chloro-2-Butene,,,,16.2,7.7,2.0,,,,97.4,halogenated,,0.8,1,hansen_a1,,
1-Chloro-2-Ethoxy Benzene,,,,19.2,8.1,4.4,,,,138.7,halogenated,,0.8,1,hansen_a1,,
1-Chloro-2-Methyl Propene,,,,16.1,7.1,4.2,,,,95.6,halogenated,,0.8,1,hansen_a1,,
1-Chloro-4-Ethoxy Benzene,,,,19.3,6.3,4.4,,,,139.2,halogenated,,0.8,1,hansen_a1,,
1-Chlorobutane,,,,16.2,5.5,2.0,,,,104.5,halogenated,,0.8,1,hansen_a1,,
1-Chlorohexane,,,,16.1,6.2,1.7,,,,138.1,halogenated,,0.8,1,hansen_a1,,
1-Chloronaphthalene,,,,19.9,4.9,2.5,,,,136.2,halogenated,,0.8,1,hansen_a1,,
1-Chloropropene,,,,15.3,6.9,2.2,,,,82.3,halogenated,,0.8,1,hansen_a1,,
1-Decanol,,,,16.0,4.7,10.0,,,,191.8,alcohol,,0.8,1,hansen_a1,,
1-Decene,,,,15.8,1.0,2.2,,,,190.6,other,,0.8,1,hansen_a1,,
1-Ethoxy Ethoxy-2-Propanol,,,,15.9,5.7,11.7,,,,156.0,alcohol,,0.8,1,hansen_a1,,
1-Ethyl Vinyl Ethyl Ether,,,,15.3,4.2,4.6,,,,125.6,ether,,0.8,1,hansen_a1,,
1-Fluoro Acrylic Acid,,,,16.0,8.7,13.0,,,,90.0,acid,,0.8,1,hansen_a1,,
1-Fluoro Acrylonitrile,,,,14.1,15.4,5.7,,,,88.8,nitrile,,0.8,1,hansen_a1,,
