name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url
Piccopale 110,PICCOPALE 110,,17.55,1.19,3.6,6.55,Natural & Petroleum Resin,C5 HC resin,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Aliphatic C5 hydrocarbon resin,aliphatic hydrocarbon resin,C5 resin; aliphatic resin,,,,
Piccorone 450L,PICCORONE 450L,,19.42,5.48,5.77,9.62,Natural & Petroleum Resin,C5/C9 resin,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Cyclopentadiene/aromatic hydrocarbon resin,C5/C9 resin,cyclopentadiene resin,,,,
POLYSAR 5630,POLYSAR 5630,,17.55,3.35,2.7,6.55,Elastomer,SBR,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(styrene-co-butadiene),styrene-butadiene rubber,SBR,,,,
Hycar 1052,HYCAR 1052,,18.62,8.78,4.17,9.62,Elastomer,NBR,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(acrylonitrile-co-butadiene),nitrile rubber,NBR; nitrile rubber,,,,
BUNA HULS B10,BUNA HULS B10,,17.53,2.25,3.42,6.55,Elastomer,SBR,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(butadiene-co-styrene),SBR / butadiene rubber,SBR; synthetic rubber,,,,
CARIFLEX IR 305,CARIFLEX IR 305,,16.57,1.41,-0.82,9.62,Elastomer,Synthetic polyisoprene,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyisoprene, synthetic",synthetic polyisoprene,IR; synthetic rubber,,,,
LUTONAL IC/1203,LUTONAL IC/1203,,14.2,2.5,4.6,12.4,Vinyl Polymer,Polyvinyl ether,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(isobutyl vinyl ether),polyvinyl isobutyl ether,PIB-VE; PVIBE,,,,
LUTONAL I60,LUTONAL I60,,16.9,2.5,4.0,7.2,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,LUTONAL I60,LUTONAL I60,,,,
POLYVINYLBUTYL ETHER,POLYVINYLBUTYL ETHER,,17.4,4.3,8.4,7.4,Vinyl Polymer,Polyvinyl ether,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(butyl vinyl ether),polyvinyl butyl ether,PVBE,,,,
LIGNIN,LIGNIN,9005-53-2,20.17,14.61,15.04,11.66,Natural & Petroleum Resin,Lignin,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Lignin,lignin,lignosulfonate; technical lignin,,,,
MODAFLOW,MODAFLOW,,16.1,3.7,7.9,8.9,Acrylic,Flow modifier,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(2-ethylhexyl acrylate-co-ethyl acrylate),acrylic flow modifier,polyacrylate flow additive,,,,
VIPLA KR,VIPLA KR (PVC),,18.4,6.6,8.0,3.0,Vinyl Polymer,PVC,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(vinyl chloride),polyvinyl chloride,PVC,,,,
CERECLOR 70,CERECLOR 70,56509-64-9,20.0,8.3,6.8,9.8,Elastomer,Chlorinated paraffin,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Chlorinated paraffin,chlorinated paraffin,chloroparaffin; CP70,,,,
CHLOROPAR 40,CHLOROPAR 40,,17.0,7.6,7.9,11.9,Elastomer,Chlorinated paraffin,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Chlorinated paraffin,chlorinated paraffin,chloroparaffin; CP40,,,,
PERGUT S 5,PERGUT S 5,,17.4,9.5,3.8,10.0,Elastomer,Chlorinated/Halogenated Rubber,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PERGUT S 5,PERGUT S 5,,,,
ALLOPREN R10,ALLOPREN R10,,17.4,4.3,3.9,6.1,Elastomer,Chlorinated rubber,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Chlorinated natural rubber,chlorinated rubber,CR; chlorinated rubber,,,,
PARLON P 10,PARLON P 10,,20.26,6.32,5.4,10.64,Elastomer,Chlorinated rubber,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Chlorinated rubber,chlorinated rubber,CR; chloroprene rubber,,,,
HYPALON 20,HYPALON 20,,18.1,3.4,4.9,3.6,Elastomer,CSM,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,,,
HYPALON 30,HYPALON 30,,18.2,4.7,2.0,5.0,Elastomer,CSM,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,,,
ALPEX,ALPEX,,19.9,0.0,0.0,9.4,Natural & Petroleum Resin,EP copolymer,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(ethylene-co-propylene),ethylene-propylene copolymer,EP copolymer; polyolefin wax,,,,
1/2-sec.-NITROCELLULOSE H 23,1/2-sec.-NITROCELLULOSE H 23,,15.41,14.73,8.84,11.46,Cellulosic Polymer,Nitrocellulose,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Cellulose nitrate,nitrocellulose,NC; guncotton; cellulose nitrate,,,,
CELLOLYN 102,CELLOLYN 102,,21.73,0.94,8.53,15.75,Cellulosic Polymer,Rosin ester,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Pentaerythritol ester of rosin modified with cellulose,rosin-modified cellulose ester,rosin ester,,,,
Pentalyn 255,PENTALYN 255,,17.55,9.37,14.32,10.64,Natural & Petroleum Resin,Rosin ester,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Glycerol ester of hydrogenated rosin,rosin ester,hydrogenated rosin ester; Pentalyn,,,,
Pentalyn 830,PENTALYN 830,,20.03,5.81,10.93,11.66,Natural & Petroleum Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Pentalyn 830,Pentalyn 830,,,,
ESTER GUM BL,ESTER GUM BL,,19.64,4.73,7.77,10.64,Cellulosic Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ESTER GUM BL,ESTER GUM BL,,,,
Versamid 930,VERSAMID 930,,17.43,-1.92,14.89,9.62,Polyamide,Dimer acid polyamide,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Dimer acid-based polyamide, low viscosity",polyamide resin,reactive polyamide,PA,,,
Versamid 961,VERSAMID 961,,18.9,9.6,11.1,6.2,Polyamide,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Versamid 961,Versamid 961,PA,,,
Versamid 965,VERSAMID 965,,20.15,6.04,12.9,9.2,Polyamide,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Versamid 965,Versamid 965,PA,,,
Desmodur L,DESMODUR L,,17.5,11.3,5.9,8.5,Polyurethane,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Desmodur L,Desmodur L,PU,,,
Desmodur N,DESMODUR N,28574-90-5,17.6,10.0,3.7,9.3,Polyurethane,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Desmodur N,Desmodur N,PU,,,
SUPRASEC F-5100,SUPRASEC F-5100,,19.7,12.9,12.8,11.4,Polyurethane,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SUPRASEC F-5100,SUPRASEC F-5100,,,,
Mowital B 30 H,MOWITAL B 30 H,,18.6,12.9,10.3,8.3,Vinyl Polymer,PVB,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(vinyl butyral),polyvinyl butyral,PVB; Mowital,,,,
Mowital B 60 H,MOWITAL B 60 H,,20.2,11.2,13.3,11.2,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Mowital B 60 H,Mowital B 60 H,,,,
Butvar B 76,BUTVAR B 76,,18.6,4.36,13.03,10.64,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Butvar B 76,Butvar B 76,,,,
LUCITE 2042 PEMA,LUCITE 2042 PEMA,,17.6,9.66,3.97,10.64,Acrylic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,LUCITE 2042 PEMA,LUCITE 2042 PEMA,,,,
LUCITE 2044 PMMA,LUCITE 2044 PMMA,,16.2,6.8,5.7,9.1,Acrylic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,LUCITE 2044 PMMA,LUCITE 2044 PMMA,,,,
PLEXIGUM MB319,PLEXIGUM MB319,,18.6,10.8,4.1,11.5,Acrylic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PLEXIGUM MB319,PLEXIGUM MB319,,,,
PLEXIGUM M527,PLEXIGUM M527,,18.4,9.4,6.5,10.7,Acrylic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PLEXIGUM M527,PLEXIGUM M527,,,,
PMMA,PMMA,,18.64,10.52,7.51,8.59,Acrylic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(methyl methacrylate),acrylic glass,acrylic glass; acrylic; plexiglass; perspex,PMMA,https://pubchem.ncbi.nlm.nih.gov/compound/6328,,
