name_input,name_clean,name_iupac,name_common,name_common_all,name_acronyms,cas,product_url,tds_url,sds_url,dD,dP,dH,radius,class,subclass,data_type,data_reliability,processing_notes
CARIFLEX IR 305,CARIFLEX IR 305,"Polyisoprene, synthetic",synthetic polyisoprene,IR; synthetic rubber,,,,,,16.57,1.41,-0.82,9.62,Elastomer,Synthetic polyisoprene,solubility,high,[PRE] route=standard; [HSP] hsp_flag_dh_negative; [CAS] not found; [CAS] not found; [CLASS] rule: \bCARIFLEX\b
LUTONAL IC/1203,LUTONAL IC/1203,Poly(isobutyl vinyl ether),polyvinyl isobutyl ether,PIB-VE; PVIBE,,,,,,14.2,2.5,4.6,12.4,Vinyl Polymer,Polyvinyl ether,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
LUTONAL I60,LUTONAL I60,,LUTONAL I60,LUTONAL I60,,,,,,16.9,2.5,4.0,7.2,Vinyl Polymer,,solubility,high,[OCR] name: 'LUTANAL I60' → 'LUTONAL I60'; [PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
POLYVINYLBUTYL ETHER,POLYVINYLBUTYL ETHER,Poly(butyl vinyl ether),polyvinyl butyl ether,PVBE,,,,,,17.4,4.3,8.4,7.4,Vinyl Polymer,Polyvinyl ether,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
LIGNIN,LIGNIN,Lignin,lignin,lignosulfonate; technical lignin,,9005-53-2,,,,20.17,14.61,15.04,11.66,Natural & Petroleum Resin,Lignin,solubility,high,[PRE] route=standard; [CAS] from v5 cache: 9005-53-2; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
MODAFLOW,MODAFLOW,Poly(2-ethylhexyl acrylate-co-ethyl acrylate),acrylic flow modifier,polyacrylate flow additive,,,,,,16.1,3.7,7.9,8.9,Acrylic,Flow modifier,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
VIPLA KR (PVC),VIPLA KR,Poly(vinyl chloride),polyvinyl chloride,PVC,,,,,,18.4,6.6,8.0,3.0,Vinyl Polymer,PVC,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
CERECLOR 70,CERECLOR 70,Chlorinated paraffin,chlorinated paraffin,chloroparaffin; CP70,,56509-64-9,,,,20.0,8.3,6.8,9.8,Elastomer,Chlorinated paraffin,solubility,high,[PRE] route=standard; [CAS] from v5 cache: 56509-64-9; [CLASS] rule: CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE
CHLOROPAR 40,CHLOROPAR 40,Chlorinated paraffin,chlorinated paraffin,chloroparaffin; CP40,,,,,,17.0,7.6,7.9,11.9,Elastomer,Chlorinated paraffin,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE
PERGUT S 5,PERGUT S 5,,PERGUT S 5,PERGUT S 5,,,,,,17.4,9.5,3.8,10.0,Elastomer,Chlorinated/Halogenated Rubber,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE
ALLOPREN R10,ALLOPREN R10,Chlorinated natural rubber,chlorinated rubber,CR; chlorinated rubber,,,,,,17.4,4.3,3.9,6.1,Elastomer,Chlorinated rubber,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE
