name_input,name_clean,name_iupac,name_common,name_common_all,name_acronyms,cas,product_url,tds_url,sds_url,dD,dP,dH,radius,class,subclass,data_type,data_reliability,processing_notes
SOL MYLAR 49001,SOL MYLAR 49001,,SOL MYLAR 49001,SOL MYLAR 49001,,,,,,19.0,5.0,4.0,5.0,Polyester & Alkyd,Saturated Polyester,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T
SOL MYLAR 49002,SOL MYLAR 49002,,SOL MYLAR 49002,SOL MYLAR 49002,,,,,,19.0,5.0,5.0,5.0,Polyester & Alkyd,Saturated Polyester,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T
TEG EG MAL TEREP,TEG EG MAL TEREP,,TEG EG MAL TEREP,TEG EG MAL TEREP,,,,,,18.8,11.4,9.2,10.2,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
TEG MALEATE,TEG MALEATE,,TEG MALEATE,TEG MALEATE,,,,,,18.1,13.9,12.1,9.7,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
VAREZ 123,VAREZ 123,,VAREZ 123,VAREZ 123,,,,,,17.3,10.9,11.9,10.7,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bV AREZ\b|\bVAREZ\b|\bVCVA\b|\bVCV A\b|
AMOCO 18-290,AMOCO 18-290,,AMOCO 18-290,AMOCO 18-290,,,,,,19.3,3.7,7.9,7.8,Polyolefin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bAMOCO\b|\bTOPAS\b
BUTON 100 BUTAD-STY,BUTON 100 BUTAD-STY,,BUTON 100 BUTAD-STY,BUTON 100 BUTAD-STY,,,,,,17.0,4.0,3.0,7.3,Styrenic,SBS,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bBUTON\b
BUTON 300,BUTON 300,,BUTON 300,BUTON 300,,,,,,17.3,3.7,7.3,7.0,Styrenic,SBS,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bBUTON\b
KOPPERS KTPL-A,KOPPERS KTPL-A,,KOPPERS KTPL-A,KOPPERS KTPL-A,,,,,,19.3,3.7,7.9,7.8,Phenolic Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: KOPPERS
RUBBER MOD PS,RUBBER MOD PS,,RUBBER MOD PS,RUBBER MOD PS,,,,,,20.0,5.0,1.0,7.0,Elastomer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
STY MAL ANH,STY MAL ANH,,STY MAL ANH,STY MAL ANH,,,,,,23.4,13.8,15.2,16.5,Styrenic,SMA,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: STY.*MAL|MAL.*ANH.*STY|STYRENE.*MALEI
LYTRON 820,LYTRON 820,,LYTRON 820,LYTRON 820,,,,,,21.1,13.1,14.5,14.4,Natural & Petroleum Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: HYDROCARBON M|CONOCO H-|PARAPOL|PLIOLITE
MARBON 9200,MARBON 9200,,MARBON 9200,MARBON 9200,,61789-96-6,,,,19.0,4.0,4.0,6.0,Styrenic,,estimated,low,[PRE] route=standard; [CAS] from v5 cache: 61789-96-6; [CLASS] rule: \bMARBON\b
PARAPOL S-50,PARAPOL S-50,,PARAPOL S-50,PARAPOL S-50,,,,,,17.9,3.9,4.9,3.9,Natural & Petroleum Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: HYDROCARBON M|CONOCO H-|PARAPOL|PLIOLITE
PARAPOL S-60,PARAPOL S-60,,PARAPOL S-60,PARAPOL S-60,,,,,,17.9,3.9,4.9,3.9,Natural & Petroleum Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: HYDROCARBON M|CONOCO H-|PARAPOL|PLIOLITE
PICCOFLEX 120,PICCOFLEX 120,,PICCOFLEX 120,PICCOFLEX 120,,,,,,17.4,7.8,3.8,7.7,Natural & Petroleum Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
SHELL POLYALDEHYDE EX 39,SHELL POLYALDEHYDE EX 39,,SHELL POLYALDEHYDE EX 39,SHELL POLYALDEHYDE EX 39,,,,,,19.6,10.0,3.6,9.4,Polyacetal / PEI / PC,Polyaldehyde,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: SHELL X-\d|SHELL POLYALD
SHELL POLYALDEHYDE EX 40,SHELL POLYALDEHYDE EX 40,,SHELL POLYALDEHYDE EX 40,SHELL POLYALDEHYDE EX 40,,,,,,19.6,10.0,3.6,9.4,Polyacetal / PEI / PC,Polyaldehyde,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: SHELL X-\d|SHELL POLYALD
SHELL X-450,SHELL X-450,,SHELL X-450,SHELL X-450,,,,,,19.3,9.5,11.1,11.1,Polyacetal / PEI / PC,Polyaldehyde,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: SHELL X-\d|SHELL POLYALD
SMA 1430A,SMA 1430A,,SMA 1430A,SMA 1430A,,,,,,18.8,11.4,16.4,14.1,Styrenic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: STY/|/STY\b|SMA\b
SAN 85/15,SAN 85/15,,SAN 85/15,SAN 85/15,,,,,,19.1,9.5,3.1,8.7,Styrenic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB
STY/BUTENOL 85/15,STY/BUTENOL 85/15,,STY/BUTENOL 85/15,STY/BUTENOL 85/15,,,,,,17.4,7.8,3.8,7.7,Styrenic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: STY/|/STY\b|SMA\b
STY/CYCLOL 82/18,STY/CYCLOL 82/18,,STY/CYCLOL 82/18,STY/CYCLOL 82/18,,,,,,18.2,5.6,7.2,5.7,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: CYCLOL|POLYCYCLOL
STY/2EHA/AA 81/11/8,STY/2EHA/AA 81/11/8,,STY/2EHA/AA 81/11/8,STY/2EHA/AA 81/11/8,,,,,,17.7,4.9,5.9,5.9,Styrenic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: STY/|/STY\b|SMA\b
STY/MAA 90/10,STY/MAA 90/10,,STY/MAA 90/10,STY/MAA 90/10,,,,,,18.7,6.3,7.3,6.7,Styrenic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: STY/|/STY\b|SMA\b
STY/MA 85/15,STY/MA 85/15,,STY/MA 85/15,STY/MA 85/15,,,,,,18.0,9.0,3.0,9.0,Styrenic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: STY/|/STY\b|SMA\b
STY/HALF ESTER MA 60/40,STY/HALF ESTER MA 60/40,,STY/HALF ESTER MA 60/40,STY/HALF ESTER MA 60/40,,,,,,18.9,10.9,10.7,9.7,Styrenic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: STY/|/STY\b|SMA\b
STY/PROP HALF E MA 57/43,STY/PROP HALF E MA 57/43,,STY/PROP HALF E MA 57/43,STY/PROP HALF E MA 57/43,,,,,,18.0,9.8,8.4,10.1,Styrenic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: STY/|/STY\b|SMA\b
STY/VBE 85/15,STY/VBE 85/15,,STY/VBE 85/15,STY/VBE 85/15,,,,,,17.4,7.8,3.8,7.7,Styrenic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: STY/|/STY\b|SMA\b
STYRON 440M-27 MOD PS,Styron 440M-27 MOD PS,,Styron 440M-27 MOD PS,Styron 440M-27 MOD PS,,,,,,20.0,5.0,1.0,7.0,Styrenic,,estimated,low,[OCR] name: 'STYRON 44OM-27 MOD PS' → 'STYRON 440M-27 MOD PS'; [PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
STYRON 475M-27,Styron 475M-27,High-impact polystyrene,HIPS,high-impact polystyrene; HIPS,,,,,,20.0,5.0,1.0,7.0,Styrenic,HIPS,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
STYRON 480-27,Styron 480-27,,Styron 480-27,Styron 480-27,,,,,,20.0,6.0,4.0,5.3,Styrenic,,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ACRYLOID K120N,Acryloid K120N,,Acryloid K120N,Acryloid K120N,,,,,,17.6,10.0,3.8,9.5,Acrylic,,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DODA 6225,DODA 6225,,DODA 6225,DODA 6225,,,,,,19.0,2.0,1.0,3.0,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bACID DEG\b|\bACID DPG\b|\bDODA\b
DODA 3457,DODA 3457,,DODA 3457,DODA 3457,,,,,,19.0,2.0,1.0,3.0,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bACID DEG\b|\bACID DPG\b|\bDODA\b
ELVAX 250,ELVAX 250,,ELVAX 250,ELVAX 250,,,,,,19.0,2.0,1.0,3.0,Vinyl Polymer,,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ELVAX 150,ELVAX 150,,ELVAX 150,ELVAX 150,,,,,,18.7,2.3,0.7,6.0,Vinyl Polymer,,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ELVAX EOD 3602-1,ELVAX EOD 3602-1,,ELVAX EOD 3602-1,ELVAX EOD 3602-1,,,,,,17.7,3.3,2.7,5.4,Vinyl Polymer,,estimated,low,[OCR] Ro rounded to 2dp; [PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EXON 470 PVC,EXON 470 PVC,,EXON 470 PVC,EXON 470 PVC,,,,,,17.4,7.8,3.8,7.7,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
EXON 471,EXON 471,,EXON 471,EXON 471,,,,,,17.9,8.7,2.5,9.0,Vinyl Polymer,PVC,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bGEON\b|\bEXON\b|\bVYHH\b
EXON 473,EXON 473,,EXON 473,EXON 473,,,,,,17.4,7.8,3.8,7.7,Vinyl Polymer,PVC,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bGEON\b|\bEXON\b|\bVYHH\b
GEON 121,GEON 121,,GEON 121,GEON 121,,,,,,19.5,6.7,11.1,8.0,Vinyl Polymer,PVC,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bGEON\b|\bEXON\b|\bVYHH\b
POLYCYCLOLa,POLYCYCLOLa,,POLYCYCLOLa,POLYCYCLOLa,,,,,,19.0,9.0,15.0,12.0,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CYCLOL|POLYCYCLOL
PVBE,PVBE,,PVBE,PVBE,,,,,,16.7,3.7,8.3,8.6,Vinyl Polymer,PVE,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: VBE/|PVBE\b|VINYL.*ETHER
PVEE,PVEE,,PVEE,PVEE,,,,,,16.0,4.0,12.0,14.0,Vinyl Polymer,PVEE,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPVEE\b
FORMVAR 7/70E PVFORMAL,FORMVAR 7/70E PVFORMAL,,FORMVAR 7/70E PVFORMAL,FORMVAR 7/70E PVFORMAL,,,,,,22.2,12.6,14.2,14.0,Vinyl Polymer,PVFormal,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: FORMV AR|PVFORMAL|POLYVINYL FORMAL|FORMV
FORMVAR 15/95E,FORMVAR 15/95E,,FORMVAR 15/95E,FORMVAR 15/95E,,,,,,22.2,12.6,14.2,14.0,Vinyl Polymer,PVFormal,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: FORMV AR|PVFORMAL|POLYVINYL FORMAL|FORMV
PVIBE,PVIBE,,PVIBE,PVIBE,,,,,,16.0,1.0,8.0,10.0,Vinyl Polymer,PVIBE,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPVIBE\b
SARAN F-120 VCL2/AN?,SARAN F-120 VCL2/AN,,SARAN F-120 VCL2/AN,SARAN F-120 VCL2/AN,,,,,,28.8,16.8,0.8,23.7,Vinyl Polymer,PVDC,estimated,low,[PRE] route=standard; [HSP] hsp_flag_dd_high; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: VDC/|VCL2/
SARAN F-220 ?,SARAN F-220,,SARAN F-220,SARAN F-220,,,,,,28.8,16.8,0.8,23.7,Vinyl Polymer,PVDC,estimated,low,[PRE] route=standard; [HSP] hsp_flag_dd_high; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: \bSARANEX\b|\bSARAN\b
SINCLAIR 3840A,SINCLAIR 3840A,,SINCLAIR 3840A,SINCLAIR 3840A,,,,,,18.4,4.0,9.6,7.3,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bSINCLAIR\b|\bCRYPLEX\b|\bVYSET\b
VA/EHA/MA 63/33/4,VA/EHA/MA 63/33/4,,VA/EHA/MA 63/33/4,VA/EHA/MA 63/33/4,,,,,,17.7,6.3,7.7,5.3,Vinyl Polymer,PVAc,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: V A/|VA/|/V A|VINYL ACETATE/
VA/EHA/CYC/MAA/76/12/8/4,VA/EHA/CYC/MAA/76/12/8/4,,VA/EHA/CYC/MAA/76/12/8/4,VA/EHA/CYC/MAA/76/12/8/4,,,,,,21.2,12.4,13.0,12.6,Vinyl Polymer,PVAc,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: V A/|VA/|/V A|VINYL ACETATE/
VA/EA/CY 70/20/10,VA/EA/CY 70/20/10,,VA/EA/CY 70/20/10,VA/EA/CY 70/20/10,,,,,,20.0,12.0,11.0,15.0,Vinyl Polymer,PVAc,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: V A/|VA/|/V A|VINYL ACETATE/
VBE/AN/MAA 46/27/27,VBE/AN/MAA 46/27/27,,VBE/AN/MAA 46/27/27,VBE/AN/MAA 46/27/27,,,,,,18.9,11.7,11.1,9.6,Vinyl Polymer,PVE,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: VBE/|PVBE\b|VINYL.*ETHER
VBE/MA/MAC46/27/27,VBE/MA/MAC46/27/27,,VBE/MA/MAC46/27/27,VBE/MA/MAC46/27/27,,,,,,19.4,13.0,13.8,12.3,Vinyl Polymer,PVE,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: VBE/|PVBE\b|VINYL.*ETHER
VDC/AA 75/25 ?,VDC/AA 75/25,,VDC/AA 75/25,VDC/AA 75/25,,,,,,20.4,11.0,0.8,11.7,Vinyl Polymer,PVDC,estimated,low,[PRE] route=copolymer; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: VDC/|VCL2/
VINYLITE AYAA PVAC,VINYLITE AYAA PVAC,,VINYLITE AYAA PVAC,VINYLITE AYAA PVAC,,,,,,22.9,18.3,7.7,20.4,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VAGH,VINYLITE VAGH,,VINYLITE VAGH,VINYLITE VAGH,,,,,,17.0,7.8,6.8,7.1,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VMCH,VINYLITE VMCH,,VINYLITE VMCH,VINYLITE VMCH,,,,,,18.3,9.7,7.7,8.5,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VXCC,VINYLITE VXCC,,VINYLITE VXCC,VINYLITE VXCC,,,,,,18.0,9.4,4.6,8.4,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VYHH,VINYLITE VYHH,,VINYLITE VYHH,VINYLITE VYHH,,,,,,19.0,11.0,5.0,10.0,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VYLF,VINYLITE VYLF,,VINYLITE VYLF,VINYLITE VYLF,,,,,,18.0,9.4,4.6,8.4,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE XYHL PVBUTYRAL,VINYLITE XYHL PVBUTYRAL,,VINYLITE XYHL PVBUTYRAL,VINYLITE XYHL PVBUTYRAL,,,,,,19.0,9.0,15.0,12.0,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE XYSG PVBUTYRAL,VINYLITE XYSG PVBUTYRAL,,VINYLITE XYSG PVBUTYRAL,VINYLITE XYSG PVBUTYRAL,,,,,,19.0,9.0,15.0,12.0,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VYSET 69,VYSET 69,,VYSET 69,VYSET 69,,,,,,17.9,3.5,7.5,5.9,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bSINCLAIR\b|\bCRYPLEX\b|\bVYSET\b
ACRYLAMIDE MONOMER,ACRYLAMIDE MONOMER,,ACRYLAMIDE MONOMER,ACRYLAMIDE MONOMER,,79-06-1,,,,16.9,18.1,19.9,17.0,Biological & Other,Monomer,estimated,low,[PRE] route=standard; [CAS] from v5 cache: 79-06-1; [CLASS] rule: MONOMER\b
BAKELITE SULFONE P-47,BAKELITE SULFONE P-47,,BAKELITE SULFONE P-47,BAKELITE SULFONE P-47,,,,,,20.0,3.0,6.0,3.0,Phenolic Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: PHENOL.FORMALDEHYDE|PHENOLIC|NOVOLAC|RES
BECKOLIN 27 MODIF OIL,BECKOLIN 27 MODIF OIL,,BECKOLIN 27 MODIF OIL,BECKOLIN 27 MODIF OIL,,,,,,11.4,0.0,3.0,18.1,Polyester & Alkyd,Alkyd,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B
PEO 4000 ? SAMPLES HEATED,PEO 4000 SAMPLES HEATED,,PEO 4000 SAMPLES HEATED,PEO 4000 SAMPLES HEATED,,,,,,22.2,11.2,13.2,17.1,Polyolefin,PEO,estimated,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: POLYETHYLENEOXIDE|POLYETHYLENE OXIDE|PEO
CHLORINATED RUBBER,CHLORINATED RUBBER,,CHLORINATED RUBBER,CHLORINATED RUBBER,,,,,,18.0,6.0,5.0,7.0,Elastomer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
CONOCO H-35 HYDROCARBON M,CONOCO H-35 HYDROCARBON M,,CONOCO H-35 HYDROCARBON M,CONOCO H-35 HYDROCARBON M,,,,,,11.4,0.0,3.0,18.1,Natural & Petroleum Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: HYDROCARBON M|CONOCO H-|PARAPOL|PLIOLITE
DAMMAR GUM DEWAXED,DAMMAR GUM DEWAXED,Dammar resin,dammar,dammar varnish; dammer resin,,,,,,19.0,2.0,9.0,9.0,Natural & Petroleum Resin,Dammar,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
EPOCRYL E-11 ?,EPOCRYL E-11,,EPOCRYL E-11,EPOCRYL E-11,,,,,,17.3,12.9,12.1,8.5,Acrylic,Epoxy Acrylate,estimated,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: \bEPOCRYL\b
ESTANE X-7 ?? DIOXANE ONLY,ESTANE X-7 DIOXANE ONLY,,ESTANE X-7 DIOXANE ONLY,ESTANE X-7 DIOXANE ONLY,,,,,,19.0,1.8,7.4,1.0,Polyurethane,TPU,estimated,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: \bESTANE\b
HEXADECYL MONOESTER TRIME,HEXADECYL MONOESTER TRIME,,HEXADECYL MONOESTER TRIME,HEXADECYL MONOESTER TRIME,,,,,,19.0,11.6,14.0,11.9,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ADIP.*TEREP|TEREP.*ADIP|VITEL|HYD BIS|PE
HYDR SPERM OIL WX135,HYDR SPERM OIL WX135,,HYDR SPERM OIL WX135,HYDR SPERM OIL WX135,,,,,,20.0,4.0,2.0,5.0,Natural & Petroleum Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
HYPALON 20 CHL SULF PE,HYPALON 20 CHL SULF PE,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,,,,,17.8,3.2,4.4,4.1,Elastomer,CSM,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
HYPALON 30,HYPALON 30,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,,,,,17.8,3.4,3.2,5.1,Elastomer,CSM,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
KETONE RESIN S588,KETONE RESIN S588,,KETONE RESIN S588,KETONE RESIN S588,,,,,,18.0,10.8,13.2,12.2,Natural & Petroleum Resin,Ketone Resin,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: KETONE RESIN
SANTOLITE MHP ARYLSULFONA,SANTOLITE MHP ARYLSULFONA,,SANTOLITE MHP ARYLSULFONA,SANTOLITE MHP ARYLSULFONA,,,,,,18.4,12.0,8.4,10.6,Amino Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: FORMALDEH|SULFONAMIDE.*FORMALD|pTOLSULFO
pTOLSULFONAMIDE-FORMALDEH,pTOLSULFONAMIDE-FORMALDEH,,pTOLSULFONAMIDE-FORMALDEH,pTOLSULFONAMIDE-FORMALDEH,,,,,,24.6,18.6,16.4,20.9,Amino Resin,,estimated,low,[OCR] Ro rounded to 2dp; [PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: FORMALDEH|SULFONAMIDE.*FORMALD|pTOLSULFO
VYHH-NIF REPT,VYHH-NIF REPT,,VYHH-NIF REPT,VYHH-NIF REPT,,,,,,17.4,9.9,6.7,7.5,Vinyl Polymer,PVC,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bGEON\b|\bEXON\b|\bVYHH\b
PVF? (DMF ONLY GOOD SOLVENT),PVF,,PVF,DMF ONLY GOOD SOLVENT,,,,,,17.4,13.7,11.3,2.0,Fluoropolymer,,solubility,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: \bPVF\b|POLY.VINYL FLUORIDE
PES SOL,PES SOL,,PES SOL,PES SOL,,,,,,19.6,10.8,9.2,6.2,Polysulfone / PES / PPS,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPSU\b|\bPES\b
LARD 37C,LARD 37C,,LARD 37C,LARD 37C,,,,,,15.9,1.16,5.41,12.03,Biological & Other,,estimated,medium,[PRE] route=flag_out_of_scope; [PRE] out-of-scope entry; [CAS] not found; [CLASS] class from brand prefix mapping
LARD 23C,LARD 23C,,LARD 23C,LARD 23C,,,,,,17.69,2.66,4.36,7.98,Biological & Other,,estimated,medium,[PRE] route=flag_out_of_scope; [PRE] out-of-scope entry; [CAS] not found; [CLASS] class from brand prefix mapping
1%IN WATER -AMINES,1%IN WATER -AMINES,,1%IN WATER -AMINES,1%IN WATER -AMINES,,,,,,15.07,20.44,16.5,18.12,Biological & Other,Aqueous,estimated,medium,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: IN WATER|WATER\s*\+
1%IN WATER +AMINES,1%IN WATER +AMINES,,1%IN WATER +AMINES,1%IN WATER +AMINES,,,,,,14.96,18.33,15.15,16.22,Biological & Other,Aqueous,estimated,medium,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: IN WATER|WATER\s*\+
BLOOD SERUM,BLOOD SERUM,,BLOOD SERUM,BLOOD SERUM,,,,,,23.2,22.73,30.6,20.48,Biological & Other,,estimated,medium,[PRE] route=flag_out_of_scope; [PRE] out-of-scope entry; [CAS] not found; [CLASS] class from brand prefix mapping
SUCROSE,SUCROSE,,SUCROSE,SUCROSE,,,,,,21.67,26.26,29.62,20.44,Biological & Other,,estimated,medium,[PRE] route=flag_out_of_scope; [PRE] out-of-scope entry; [CAS] not found; [CLASS] class from brand prefix mapping
UREA,UREA,,UREA,UREA,,,,,,20.9,18.7,26.4,19.42,Biological & Other,,estimated,medium,[PRE] route=flag_out_of_scope; [PRE] out-of-scope entry; [CAS] not found; [CLASS] class from brand prefix mapping
PSORIASIS SCALES,PSORIASIS SCALES,,PSORIASIS SCALES,PSORIASIS SCALES,,,,,,24.64,11.94,12.92,19.04,Biological & Other,,estimated,medium,[PRE] route=flag_out_of_scope; [PRE] out-of-scope entry; [CAS] not found; [CLASS] class from brand prefix mapping
